"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426","V427","V428","V429","V430","V431","V432","V433","V434","V435","V436","V437","V438","V439","V440","V441","V442","V443","V444","V445","V446","V447","V448","V449","V450","V451","V452","V453","V454","V455","V456","V457","V458","V459","V460","V461","V462","V463","V464","V465","V466","V467","V468","V469","V470","V471","V472","V473","V474","V475","V476","V477","V478","V479","V480","V481","V482","V483","V484","V485","V486","V487","V488","V489","V490","V491","V492","V493","V494","V495","V496","V497","V498","V499","V500","V501","V502","V503","V504","V505","V506","V507","V508","V509","V510","V511","V512"
1,0,0,0,0,2,1,0,0,1,0,0,0,3,1,3,1,0,1,1,0,0,0,0,0,3,6,5,0,0,3,0,0,1,0,4,1,0,2,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,1,0,0,1,5,0,11,0,0,1,0,4,13,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,1,0,1,3,10,0,10,1,4,2,1,0,3,3,0,16,2,0,0,2,0,0,0,0,0,0,1,2,1,0,5,0,0,2,0,6,0,0,1,0,2,4,1,6,0,0,3,2,3,0,1,0,3,3,1,1,0,0,0,0,0,6,0,0,3,2,0,0,0,0,0,3,1,0,0,5,1,1,1,1,0,1,1,0,7,0,0,0,0,0,0,0,2,1,1,0,0,6,0,0,0,0,7,3,0,0,1,0,0,1,2,0,0,1,27,1,2,0,0,0,0,0,0,2,0,0,1,17,0,0,0,2,1,0,0,0,1,2,0,5,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,6,0,0,0,0,6,0,0,4,0,1,0,2,3,0,0,3,4,1,0,1,4,1,0,0,0,0,13,1,2,1,0,3,9,0,5,0,8,0,0,4,1,10,6,1,14,0,0,3,1,5,8,11,5,0,8,25,0,0,0,4,1,2,0,0,4,0,0,0,4,1,4,0,0,0,2,7,3,4,21,0,1,0,1,0,1,1,0,7,0,0,0,1,11,10,0,0,7,5,9,30,1,1,1,0,2,3,0,4,0,9,0,0,1,0,5,1,15,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,1,1,0,0,0,13,0,0,0,0,0,0,8,1,0,4,0,0,0,6,0,2,2,0,0,0,1,7,0,0,0,1,2,1,0,0,0,3,6,1,3,2,0,1,5,3,0,1,2,1,1,0,2,2,0,0,4,0,0,0,2,0,0,0,1,4,0,1,0,4,0,3,1,6,0,0,6,1,0,0,0,0,0,0,2,2,4,0,4,0,0,3,3,5,1,0,0,1,1,1,0,0,4,0,2
3,35,88,38,21,0,27,174,0,0,0,62,36,26,41,40,0,3,24,10,41,5,70,71,42,17,4,90,9,24,41,65,3,36,73,59,25,2,44,31,74,17,99,66,32,0,27,0,31,33,34,22,26,31,0,0,69,35,14,23,8,41,0,21,105,45,28,31,0,0,31,5,55,32,73,2,16,16,13,26,16,0,13,60,32,76,0,45,37,43,35,22,19,4,62,35,31,61,32,3,103,42,45,6,0,52,16,9,32,80,66,100,65,24,0,22,61,39,6,1,106,17,7,68,105,0,65,1,90,0,11,30,55,25,71,28,49,47,22,23,5,37,40,49,2,61,1,25,1,57,16,45,0,15,9,0,5,25,77,10,4,23,5,23,24,29,2,54,20,35,16,44,26,7,6,0,39,7,2,32,0,0,7,0,8,12,1,4,26,13,15,1,33,0,14,2,8,0,13,10,4,7,0,17,23,25,28,20,49,5,23,20,26,9,0,28,30,0,90,51,0,0,60,10,43,36,16,25,0,0,50,83,37,26,4,14,0,29,0,35,1,18,25,30,73,76,0,78,11,0,44,23,15,61,0,27,1,4,5,3,30,25,0,30,4,26,30,32,7,1,20,56,0,3,15,22,10,15,14,17,0,4,11,18,2,5,0,0,7,2,1,3,5,3,3,10,1,0,8,5,2,4,4,1,8,20,39,9,8,0,0,26,7,6,0,2,5,0,10,6,8,7,5,1,8,8,8,8,9,9,0,0,2,1,0,0,13,43,17,31,14,12,1,8,12,22,45,29,5,10,7,0,78,98,44,22,89,0,49,55,0,1,44,34,21,9,45,56,32,28,0,82,13,4,109,0,0,144,25,41,62,0,0,0,2,0,52,10,49,119,0,16,96,37,89,63,0,34,93,20,75,19,23,60,90,75,25,0,793,344,372,720,0,3,127,3,101,14,1,28,23,45,6,11,18,0,10,26,35,141,63,101,1,14,28,12,12,3,10,15,29,12,0,18,14,14,20,19,11,0,0,22,0,8,22,12,14,30,25,17,25,7,5,8,0,0,9,22,0,7,24,3,39,0,15,7,10,0,8,22,69,1,29,0,0,30,11,25,8,14,13,15,30,0,26,0,32,19,4,16,0,0,10,4,38,14,3,0,0,20,29,32
13,1,12,4,3,8,34,9,15,10,0,9,4,2,22,11,5,12,10,10,10,9,7,15,49,56,22,30,27,37,35,49,10,8,6,24,14,13,36,79,7,6,3,13,3,9,15,8,14,35,5,28,5,3,22,8,6,22,19,7,6,4,27,30,11,14,10,17,28,30,19,19,19,3,12,12,11,32,15,9,19,13,18,12,7,4,15,5,8,1,3,0,2,5,3,5,6,10,25,35,31,22,30,22,52,145,151,54,47,68,170,89,118,114,239,102,92,32,22,64,20,24,15,37,11,3,18,16,79,97,64,76,47,16,35,21,124,209,23,25,12,75,22,31,6,43,7,5,16,28,3,8,11,23,47,21,5,13,13,26,4,12,4,3,15,16,16,10,11,13,6,27,18,18,29,25,11,12,3,4,7,10,1,4,0,3,4,1,4,5,16,9,3,14,2,5,5,3,3,3,5,1,8,12,6,8,36,17,3,4,7,9,9,22,8,1,2,3,3,3,7,5,3,9,8,12,9,8,11,11,7,6,9,62,16,15,17,3,6,1,6,6,13,16,12,4,33,14,9,4,2,9,5,8,4,5,111,57,47,25,15,4,10,16,12,18,23,11,2,14,15,10,33,25,49,84,15,12,14,20,53,20,73,32,44,32,67,34,36,59,33,12,23,14,56,30,48,20,79,29,21,62,40,36,72,58,170,675,43,37,217,247,36,85,38,60,41,133,182,56,6,7,17,16,12,30,52,21,31,57,27,25,18,14,33,23,26,31,19,37,19,10,5,21,31,44,17,23,9,29,15,35,69,37,39,44,53,20,13,28,61,66,38,24,19,54,45,44,18,22,30,12,23,17,27,23,37,35,25,22,22,25,14,10,14,15,17,19,12,56,20,1,4,31,26,16,49,47,97,45,163,36,76,125,60,60,30,39,41,38,14,9,33,32,59,91,29,46,11,12,17,13,8,33,11,12,28,9,15,9,3,14,28,5,17,4,19,16,5,6,42,19,16,18,44,42,26,16,9,1,9,28,94,24,32,17,23,49,47,33,19,29,34,59,21,27,37,70,54,49,26,25,46,24,27,33,33,57,26,10,197,139,197,102,189,104,28,152,43,80,23,24,35,62,358,131,13,23,25,32,21,40,36,11,43,15,79,54,59,34,61,85
1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,5,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,3,0,0,0,5,0,0,0,1,1,1,6,0,1,0,0,0,0,1,0,0,2,1,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,6,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,10,4,0,19,0,1,0,4,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,54,0,15,0,1,0,2,0,0,0,0
4,0,20,4,3,13,16,15,14,0,18,20,0,1,11,31,16,27,16,24,31,7,27,40,59,6,40,21,23,28,12,27,2,17,27,8,25,18,8,34,29,26,30,27,15,13,6,1,37,16,1,37,7,0,41,20,22,31,11,42,2,7,20,10,8,31,23,31,9,42,79,41,49,25,22,18,41,60,20,11,24,8,43,18,33,20,50,65,26,25,12,11,22,32,40,31,37,15,8,12,31,27,45,37,35,53,9,23,30,49,33,47,9,16,14,0,29,15,26,49,23,18,8,10,20,6,0,11,34,26,7,18,5,4,15,18,82,68,28,38,26,32,25,20,21,0,31,52,18,40,24,28,10,6,3,9,10,13,18,29,5,22,1,8,15,12,12,13,16,17,6,4,14,1,27,9,27,22,11,15,19,18,8,8,7,25,8,1,7,19,9,8,43,18,24,10,26,17,0,14,29,39,25,38,19,26,50,24,27,45,63,22,20,38,62,1,13,25,34,4,5,16,15,33,5,11,8,18,10,0,19,10,20,22,27,14,15,29,10,9,14,2,30,46,11,0,25,12,19,18,6,1,11,11,8,9,67,2,59,66,10,15,12,5,10,21,20,12,2,61,9,22,16,6,28,40,11,1,15,18,21,13,1,11,8,0,7,9,49,40,21,21,1,39,9,16,61,70,62,100,1,79,63,27,71,21,60,12,6,130,8,114,56,30,31,47,18,53,22,33,35,36,39,11,26,35,24,39,71,36,2,29,48,11,19,45,15,11,7,26,28,16,33,21,29,49,38,39,19,20,71,62,44,45,54,28,28,34,13,30,32,33,3,5,4,6,25,6,63,20,43,0,34,2,32,42,13,8,77,18,65,19,11,3,27,11,8,5,1,18,23,10,28,5,28,18,6,46,44,5,29,11,16,36,31,3,5,22,11,7,17,4,17,18,19,9,14,0,14,16,29,28,43,15,58,15,14,16,3,10,4,33,22,10,19,0,32,14,6,35,1,14,20,10,41,43,39,29,5,7,2,25,29,18,28,11,1,14,25,2,21,5,14,0,15,0,19,31,7,12,21,3,0,1,27,11,30,6,10,3,40,26,20,26,21,12,9,32,45,24,13,19,17,35,33,13,10,19,40,33,24,10,4,17,29,9,14,22,36,0,10,15
0,0,0,0,1,5,0,0,1,0,0,0,0,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,6,1,4,3,4,1,24,10,12,9,9,17,9,9,4,10,7,7,5,6,4,17,15,10,8,8,7,2,6,11,16,21,9,9,28,19,11,5,5,7,7,3,4,5,1,5,28,13,15,7,19,18,4,11,25,9,9,22,13,3,15,9,4,12,5,0,16,17,7,6,15,6,5,3,11,11,6,15,8,17,6,10,6,9,25,15,9,5,8,12,8,7,4,13,14,4,7,8,27,15,5,21,13,30,11,30,26,11,16,28,14,32,26,23,20,9,22,52,39,18,18,14,11,2,14,11,35,19,11,13,5,2,8,5,17,26,11,17,25,31,19,23,3,22,15,18,16,10,5,9,10,12,22,11,14,9,15,8,2,7,5,4,12,8,6,4,17,23,9,11,19,3,36,29,30,4,12,14,17,11,15,21,11,6,5,11,3,14,3,20,7,5,11,24,5,16,7,10,10,6,4,5,7,5,9,24,17,20,9,15,19,3,4,6,15,22,6,4,5,13,5,2,12,15,20,19,9,18,10,8,20,10,18,23,22,18,12,25,21,8,10,17,12,7,16,27,8,9,9,19,16,15,0,3,29,14,26,20,17,8,15,22,6,4,12,10,4,12,14,11,16,14,11,18,18,20,3,5,15,10,8,15,11,5,7,5,5,4,15,12,4,13,18,33,29,16,20,13,10,9,37,7,39,6,10,40,43,27,31,25,26,10,26,30,9,13,30,19,12,7,13,19,11,18,10,14,21,10,11,7,26,22,16,35,35,53,22,17,35,26,56,23,32,17,37,30,13,14,24,37,5,9,9,19,7,9,16,28,22,30,36,18,2,5,22,14,6,3,5,0,6,1,4,3,4,4,6,8,16,12,42,8,5,7,20,18,10,13,21,15,35,23,21,19,10,8,21,12,17,12,7,11,6,27,12,15,15,14,10,3,6,10,9,46,16,5,11,15,8,4,7,5,22,5,1,3,10,6,10,12,6,6,10,4,4,6,5,3,10,13,7,4,8,9,5,6,33,24,7,19,13,14,10,7,10,3,11,3,5,8,26,10,17,10,14,33,8,16,6,16,14,6,4,2,0,8,10,11,10,14,27,9,15,11,7,19,48,36,16,33,25,54,23,23,15,4,11,10,26,22,4,3,9,3,3,6,13,25,20,14
0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,21,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0
0,0,0,0,0,8,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,5,0,5,4,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,1,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,3,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,1,0,1,5,0,2,0,0,0,7,0,1,10,0,0,1,4,0,0,0,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,5,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,27,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,4,9,0,3,2,0,0,1,2,16,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,45,3,0,0,0,0,0,0,4,0,0,0,1,0,0
2,13,13,11,9,30,47,36,48,3,2,9,11,26,13,0,3,0,14,1,7,3,6,20,0,5,3,30,4,12,9,5,3,0,6,2,7,0,2,5,1,3,2,6,0,11,6,21,7,13,0,9,11,18,12,16,14,0,9,1,5,2,2,4,8,3,2,3,7,8,29,12,15,0,0,22,1,11,5,8,9,19,1,13,1,30,32,42,12,20,9,11,11,4,20,16,6,10,9,1,18,0,0,0,18,0,5,0,4,9,19,24,4,5,14,13,3,7,6,3,15,14,13,0,2,6,14,6,71,57,15,0,16,5,1,22,26,4,1,0,12,11,1,14,11,5,2,10,9,7,20,30,13,1,22,14,0,1,40,8,4,0,0,0,0,1,2,0,7,22,0,12,0,7,8,7,3,5,1,6,0,0,4,9,0,1,4,5,2,3,5,1,13,3,3,11,8,1,19,20,17,7,23,15,2,16,17,15,31,27,17,0,0,12,18,7,8,9,8,5,11,7,5,33,56,17,22,5,3,5,8,5,15,33,5,15,19,6,5,7,4,3,21,17,26,14,16,6,42,2,0,27,9,22,10,17,2,5,16,11,10,13,0,0,6,12,8,14,4,33,4,3,0,11,3,16,4,16,0,6,6,1,0,5,7,1,3,3,7,5,6,7,0,0,8,8,1,2,18,3,8,0,0,12,0,0,0,14,0,8,13,20,3,8,8,0,6,3,6,3,17,1,0,0,24,6,11,13,0,0,9,6,13,16,5,8,25,20,12,10,17,21,0,7,18,13,29,15,1,13,13,19,0,5,17,29,0,17,26,18,5,15,25,13,3,13,8,17,8,28,2,12,1,0,8,24,6,15,26,0,17,18,30,2,1,16,9,2,10,31,32,9,12,31,7,11,10,0,1,0,49,12,24,6,25,5,5,12,68,3,38,65,27,4,8,6,10,7,8,1,15,0,16,11,12,9,16,6,7,26,36,31,4,16,16,7,4,6,10,35,18,0,19,17,4,0,15,12,28,6,10,13,16,0,9,5,0,24,5,10,0,10,10,10,9,7,9,10,0,11,11,11,17,19,18,28,0,25,22,14,21,18,21,4,16,35,11,55,0,0,4,16,19,0,19,12,8,36,8,19,13,14,9,10,31,1,5,32,5,22,22,35
21,10,2,6,13,12,4,4,1,10,3,6,7,16,13,5,6,7,23,19,12,3,4,13,4,25,39,18,23,25,18,29,3,1,12,22,6,9,4,12,10,34,32,4,0,30,13,12,3,17,6,6,2,4,19,7,5,19,18,2,4,9,14,8,9,3,12,2,7,8,7,6,7,5,12,14,5,2,0,1,17,13,5,13,5,8,4,15,13,9,1,6,1,5,9,11,5,4,0,3,2,2,2,6,2,7,4,7,5,11,2,4,7,12,12,1,8,3,11,12,7,25,17,9,4,3,12,11,12,1,7,21,6,2,7,2,23,1,5,1,7,0,4,4,2,4,1,6,2,4,8,2,4,1,14,4,2,5,5,3,3,13,3,1,10,5,8,5,7,1,7,5,11,7,2,6,2,0,7,8,14,6,2,1,1,4,5,4,0,1,0,2,7,0,1,13,3,6,16,11,10,2,15,8,4,5,0,7,9,5,30,0,17,14,7,34,6,8,6,7,15,16,10,29,10,3,5,3,18,7,10,13,7,1,3,6,10,1,7,9,18,6,23,4,6,15,11,19,3,1,4,3,8,19,8,8,3,6,4,13,11,2,10,5,11,6,31,18,9,17,25,10,6,2,6,2,0,4,6,13,15,4,2,3,4,3,9,10,1,15,3,2,7,5,7,5,10,3,12,8,7,5,8,10,0,39,13,17,22,15,21,2,4,5,2,19,11,15,24,14,1,4,2,2,4,5,6,3,13,1,4,13,2,4,0,7,4,2,3,10,2,8,2,1,4,10,4,4,0,3,4,0,1,11,9,9,3,6,29,21,7,14,12,7,0,9,11,10,7,6,9,2,9,4,1,12,17,3,11,16,14,15,13,4,2,7,10,8,6,8,9,3,1,0,6,2,10,2,6,2,8,12,7,9,3,6,3,0,3,4,1,4,2,1,0,8,4,6,8,7,5,14,8,6,3,6,1,15,9,8,10,3,3,5,1,0,5,4,1,2,1,1,1,5,1,0,9,1,1,4,4,5,6,4,1,2,5,3,12,4,6,2,16,7,4,3,6,0,2,4,7,2,2,6,6,3,3,5,2,7,9,12,4,7,12,0,2,2,5,3,0,4,7,3,2,7,9,1,2,5,3,10,6,4,5,6,6,7,2,5,6,3
9,1,8,8,5,4,8,5,7,0,3,5,4,5,7,2,2,3,5,2,0,13,2,11,8,0,2,4,3,0,5,2,2,5,0,9,2,1,1,1,0,0,4,0,0,1,3,0,0,2,0,11,3,3,11,0,4,8,2,0,2,0,7,1,10,49,9,16,15,6,30,17,4,6,6,6,3,20,4,10,1,6,1,5,0,10,8,2,5,5,2,2,3,0,10,4,1,1,2,11,2,6,8,0,6,4,1,1,9,7,17,13,3,8,0,9,8,2,11,5,4,4,0,2,2,1,1,2,2,5,0,3,4,0,1,2,1,3,1,1,3,1,1,5,6,4,4,1,6,19,1,9,1,0,4,2,2,2,5,2,1,2,0,0,3,0,1,1,0,12,1,6,3,0,5,2,0,0,1,0,3,1,0,1,4,1,0,1,3,2,3,0,0,2,0,1,8,4,0,5,0,1,2,2,5,1,0,5,5,1,9,1,4,3,1,2,0,2,0,0,1,2,2,0,4,1,0,0,0,1,3,3,3,3,2,1,3,2,1,0,4,1,0,1,5,4,4,4,1,0,0,1,4,3,13,7,10,7,0,2,0,0,3,2,4,1,2,4,0,10,5,1,0,1,6,1,3,7,0,2,2,1,0,5,8,1,2,1,12,0,0,6,12,3,7,3,2,4,3,0,3,20,3,3,4,0,2,0,1,1,2,9,2,3,8,0,1,7,4,5,2,1,3,5,0,0,0,3,2,2,0,2,2,2,7,0,1,4,0,1,1,2,6,0,1,3,4,1,0,0,4,4,0,0,0,0,0,1,0,3,1,1,2,1,1,1,1,4,3,1,2,3,6,2,2,3,0,2,10,1,3,0,9,0,4,2,5,0,1,0,0,3,14,5,1,7,10,3,0,4,14,0,2,2,2,3,3,0,2,1,2,5,7,3,4,15,1,9,0,1,11,0,1,5,8,3,7,3,5,13,13,10,1,1,2,0,0,2,5,7,1,0,4,1,0,0,2,0,7,1,3,8,2,2,6,1,2,0,2,2,4,2,9,0,18,2,15,32,0,1,1,3,7,1,1,0,1,0,2,3,1,2,1,1,10,5,4,4,6,3,15,10,6,2,4,4,5,7,5,1,5,0,0,5,3,1,0,1,0,2,3,0
