Term,Adjusted P-value using selected genes (82712),Adjusted P-value using selected genes (29873),Adjusted P-value using selected genes (52382),Adjusted P-value using selected genes (19442),Adjusted P-value using selected genes (79815),Avg. adjusted P-value using selected genes,Adjusted P-value using all expressed genes
Protein Stabilization (GO:0050821),0.046191824387787,0.0172820198585943,0.0560975479144142,0.1086672543123113,0.0045887793161478,0.046565485157850924,0.2324331294189097
Bicellular Tight Junction Assembly (GO:0070830),0.1412679782723824,0.1158174020554411,0.0313426976957209,0.0324461352894496,0.0254490738025604,0.06926465742311089,0.3255195120889065
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),0.0968971986057128,0.1374136518298611,0.0690042221327875,0.0340667495567682,0.0210016520038344,0.0716766948257928,0.4474848022536893
Positive Regulation Of Cellular Respiration (GO:1901857),0.1082358839932498,0.0990068617426857,0.0052183003962325,0.0780604938512554,0.0830045771471701,0.0747052234261187,0.2696992464089582
Positive Regulation Of DNA-templated Transcription (GO:0045893),0.0480141274655346,0.1095661496018148,0.1223553606828876,0.0756076564615104,0.0253680273457374,0.07618226431149697,0.5105202221584255
Epithelial Cell Differentiation (GO:0030855),0.1082358839932498,0.1003849777688644,0.1054389201755635,0.0324461352894496,0.0963223767333076,0.08856565879208697,0.5133996719596713
Regulation Of Apoptotic Process (GO:0042981),0.1856374224375053,0.0817848170466492,0.0881263898808534,0.0756076564615104,0.0225638729103804,0.09074403174737974,0.3386036590903055
Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557),0.2370914379365691,0.0265913684295758,0.0905562361325922,0.0756076564615104,0.0243284311769192,0.09083502602743333,0.3663722295697449
Ribosome Assembly (GO:0042255),0.2370914379365691,0.0402337768499107,0.035832673589546,0.0340667495567682,0.1216541608610968,0.09377575975877817,0.4474848022536893
Positive Regulation Of Protein Metabolic Process (GO:0051247),0.2057117354043392,0.0428370609045509,0.1054389201755635,0.0883557565690337,0.0384804864457403,0.09616479189984553,0.4308446960206987
Cellular Response To Heat (GO:0034605),0.2370914379365691,0.1003849777688644,0.1054389201755635,0.0213730257231863,0.0210016520038344,0.09705800272160355,0.5433985212714465
Cytoplasmic Translational Initiation (GO:0002183),0.2343168117999402,0.0681161520912312,0.0703318019358328,0.0620226543478593,0.0614194877507802,0.09924138158512875,0.1142407112927253
Negative Regulation Of Protein Localization (GO:1903828),0.120229529884162,0.1003849777688644,0.1054389201755635,0.0883557565690337,0.0963223767333076,0.10214631222618624,0.5433985212714465
Negative Regulation Of Programmed Cell Death (GO:0043069),0.076813015048868,0.1336492129491454,0.1425784539620637,0.0756076564615104,0.0830045771471701,0.10233058311375151,0.2116886582055866
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),0.1807486763986494,0.0817848170466492,0.0857697179532583,0.1443687799061047,0.0247308944322784,0.10348057714738801,0.4241424045465394
rRNA Processing (GO:0006364),0.2370914379365691,0.0505583121481088,0.0560975479144142,0.0529561953766125,0.1266479459186353,0.10467028785886796,0.6019319011913519
mRNA Processing (GO:0006397),0.1334640855847195,0.1158174020554411,0.1223553606828876,0.0529561953766125,0.1164998908495001,0.10821858690983217,0.2696992464089582
"mRNA Splicing, Via Spliceosome (GO:0000398)",0.1334640855847195,0.1158174020554411,0.1223553606828876,0.0529561953766125,0.1164998908495001,0.10821858690983217,0.1142407112927253
Positive Regulation Of Response To Wounding (GO:1903036),0.2143475297625831,0.1923584014853486,0.0571953950989804,0.0529561953766125,0.0498528776242534,0.1133420798695556,0.2116886582055866
Positive Regulation Of Translation (GO:0045727),0.2370914379365691,0.0611741992979458,0.1557833945539529,0.0569616004384602,0.0586706462517327,0.11393625569573214,0.4086947820783818
Positive Regulation Of Gene Expression (GO:0010628),0.2370914379365691,0.1003849777688644,0.1054389201755635,0.0883557565690337,0.0498528776242534,0.11622479401485682,0.5782708238704584
Protein Destabilization (GO:0031648),0.2370914379365691,0.0990068617426857,0.0998754559924135,0.0780604938512554,0.0830045771471701,0.11940776533401876,0.6593531280815934
Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796),0.1412679782723824,0.1158174020554411,0.1223553606828876,0.108801392408306,0.1164998908495001,0.12094840485370344,0.641422448526083
Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),0.2343168117999402,0.1003849777688644,0.1054389201755635,0.0883557565690337,0.0963223767333076,0.12496376860934186,0.4474848022536893
Negative Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090201),0.1655231105438083,0.1301103495912957,0.1404423216603558,0.1250415612723208,0.1216541608610968,0.1365543007857755,0.4241424045465394
"Alternative mRNA Splicing, Via Spliceosome (GO:0000380)",0.1655231105438083,0.1301103495912957,0.1404423216603558,0.1250415612723208,0.1216541608610968,0.1365543007857755,0.1973349388603707
Positive Regulation Of Peptidyl-Lysine Acetylation (GO:2000758),0.1655231105438083,0.1336492129491454,0.1425784539620637,0.1271662947649522,0.1266479459186353,0.13911300362772097,0.6593531280815934
Regulation Of Cellular Respiration (GO:0043457),0.1655231105438083,0.1336492129491454,0.1425784539620637,0.1271662947649522,0.1266479459186353,0.13911300362772097,0.4241424045465394
Response To Interferon-Alpha (GO:0035455),0.1655231105438083,0.1336492129491454,0.1425784539620637,0.1271662947649522,0.1266479459186353,0.13911300362772097,0.4241424045465394
Regulation Of Programmed Cell Death (GO:0043067),0.2056329726900052,0.1003849777688644,0.1941776109994797,0.1690405281001085,0.0384804864457403,0.14154331520083963,0.3663722295697449
Formation Of Cytoplasmic Translation Initiation Complex (GO:0001732),0.2600047705272884,0.1158174020554411,0.1223553606828876,0.1086672543123113,0.1164998908495001,0.1446689356854857,0.0312776112229271
Positive Regulation Of Proteasomal Protein Catabolic Process (GO:1901800),0.1334640855847195,0.1158174020554411,0.2503039514684358,0.1086672543123113,0.1164998908495001,0.14495051685408156,0.1617274964423233
"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",0.1856374224375053,0.1504678146831495,0.166197843885568,0.0758733248502512,0.1540959758856246,0.14645447634841974,0.308290443295314
Inflammatory Response (GO:0006954),0.1655231105438083,0.1374136518298611,0.1509443013150673,0.1378471209539057,0.1430615105844143,0.14695793904541135,0.4241424045465394
Epithelial Structure Maintenance (GO:0010669),0.1845915813171529,0.1374136518298611,0.1557833945539529,0.1378471209539057,0.1430615105844143,0.15173945184785737,0.4474848022536893
Establishment Of Skin Barrier (GO:0061436),0.1845915813171529,0.1374136518298611,0.1557833945539529,0.1378471209539057,0.1430615105844143,0.15173945184785737,0.4474848022536893
Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032436),0.2343168117999402,0.1003849777688644,0.2439687484608031,0.0883557565690337,0.0963223767333076,0.1526697342663898,0.2116886582055866
Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000060),0.2343168117999402,0.1003849777688644,0.2439687484608031,0.0883557565690337,0.0963223767333076,0.1526697342663898,0.2116886582055866
Positive Regulation Of Wound Healing (GO:0090303),0.2370914379365691,0.245658214849648,0.1054389201755635,0.0883557565690337,0.0963223767333076,0.15457334125282438,0.3934146798664299
Negative Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903321),0.2370914379365691,0.1360482473947614,0.1457479787295396,0.130307617128887,0.1326557096338693,0.15637019816472525,0.6593531280815934
Ribosomal Large Subunit Biogenesis (GO:0042273),0.2370914379365691,0.1360482473947614,0.1457479787295396,0.130307617128887,0.1326557096338693,0.15637019816472525,0.6593531280815934
Hydrogen Peroxide Catabolic Process (GO:0042744),0.1856374224375053,0.1468102803296847,0.1650220665401278,0.1443687799061047,0.1484703582430493,0.15806178149129438,0.4474848022536893
Skin Epidermis Development (GO:0098773),0.1856374224375053,0.1504678146831495,0.166197843885568,0.1468968846638165,0.1488055973319645,0.15960111260040077,0.484577512749614
Modulation By Host Of Viral Genome Replication (GO:0044827),0.1856374224375053,0.1504678146831495,0.166197843885568,0.1468968846638165,0.1488055973319645,0.15960111260040077,0.6593531280815934
Positive Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902993),0.1856374224375053,0.1504678146831495,0.166197843885568,0.1468968846638165,0.1488055973319645,0.15960111260040077,0.3227291910666023
Regulation Of Transcription By RNA Polymerase II (GO:0006357),0.1856374224375053,0.245658214849648,0.1677218531646605,0.1269423158964861,0.0830045771471701,0.161792876699094,0.6708864578125472
protein-RNA Complex Assembly (GO:0022618),0.2343168117999402,0.1158174020554411,0.1223553606828876,0.2257119436689534,0.1164998908495001,0.16294028181134448,0.102653292061149
Ribonucleoprotein Complex Biogenesis (GO:0022613),0.1856374224375053,0.1537619265283439,0.1689642791001711,0.1531612994637733,0.1570719321651688,0.1637193719389925,0.7006442454170451
rRNA Metabolic Process (GO:0016072),0.2370914379365691,0.1158174020554411,0.1223553606828876,0.1086672543123113,0.2353457425764912,0.16385543951274006,0.5105202221584255
Bone Development (GO:0060348),0.2370914379365691,0.1158174020554411,0.1223553606828876,0.1086672543123113,0.2353457425764912,0.16385543951274006,0.4241424045465394
Modulation By Host Of Viral Process (GO:0044788),0.1948402359857233,0.1537619265283439,0.1689642791001711,0.1531612994637733,0.1540959758856246,0.16496474339272724,0.6593531280815934
Protein Sumoylation (GO:0016925),0.2370914379365691,0.1158174020554411,0.2503039514684358,0.1086672543123113,0.1164998908495001,0.16567598732445146,0.6343316146844947
Regulation Of Wound Healing (GO:0061041),0.2370914379365691,0.245658214849648,0.1223553606828876,0.108801392408306,0.1164998908495001,0.16608125934538215,0.3255195120889065
Ribosome Biogenesis (GO:0042254),0.2370914379365691,0.1246596033689302,0.1352297912340328,0.1231399993919099,0.2353457425764912,0.17109331490158664,0.6623396613508814
Positive Regulation Of Cellular Component Biogenesis (GO:0044089),0.2745141273042579,0.245658214849648,0.1223553606828876,0.108801392408306,0.1164998908495001,0.1735657972189199,0.4241424045465394
MAPK Cascade (GO:0000165),0.2803547520208039,0.245658214849648,0.2503039514684358,0.049040592819206,0.0448446655415134,0.17404043533992142,0.3386036590903055
ncRNA Processing (GO:0034470),0.2370914379365691,0.1301103495912957,0.140794386058659,0.1269423158964861,0.2353457425764912,0.17405684641190022,0.6593531280815934
Regulation Of Protein-Containing Complex Assembly (GO:0043254),0.2370914379365691,0.1537619265283439,0.1689642791001711,0.1543251519478317,0.1588213001235602,0.1745928191272952,0.5782708238704584
Maturation Of LSU-rRNA (GO:0000470),0.2708308744723539,0.1468102803296847,0.1650220665401278,0.1443687799061047,0.1484703582430493,0.17510047189826405,0.6593531280815934
Myelin Maintenance (GO:0043217),0.2370914379365691,0.245658214849648,0.2503039514684358,0.0756076564615104,0.0767909674306925,0.17709044562937115,0.484577512749614
Response To Estrogen (GO:0043627),0.2370914379365691,0.245658214849648,0.2503039514684358,0.0756076564615104,0.0797082949397986,0.17767391113119238,0.4474848022536893
Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),0.1174824756098402,0.2316942645053328,0.24375410526098,0.0883557565690337,0.2158783031181253,0.1794329810126624,0.2116886582055866
Negative Regulation Of Protein Localization To Nucleus (GO:1900181),0.2773286610143205,0.1537619265283439,0.1689642791001711,0.1531612994637733,0.1540959758856246,0.18146242839844667,0.3386036590903055
Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032434),0.2370914379365691,0.1374136518298611,0.2503039514684358,0.1378471209539057,0.1465223928001558,0.18183571099778548,0.4226010356907615
Positive Regulation Of Cellular Process (GO:0048522),0.2343284375894321,0.1537619265283439,0.2503039514684358,0.1593633568003239,0.1164998908495001,0.18285151264720714,0.484577512749614
Mononuclear Cell Differentiation (GO:1903131),0.2103157593053333,0.1747860760633051,0.1941776109994797,0.1673222841262535,0.1687469916534478,0.18306974442956386,0.5411726907980937
Intermediate Filament Organization (GO:0045109),0.2087900434719049,0.1747860760633051,0.1941776109994797,0.1690405281001085,0.1739864075367475,0.18415613323430913,0.4670292406822134
Negative Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903051),0.2103157593053333,0.178240630487982,0.1941776109994797,0.1690405281001085,0.1739864075367475,0.18515218728593022,0.6593531280815934
Metanephros Development (GO:0001656),0.2103157593053333,0.178240630487982,0.1941776109994797,0.1690405281001085,0.1739864075367475,0.18515218728593022,0.6593531280815934
Neutrophil Chemotaxis (GO:0030593),0.2103157593053333,0.178240630487982,0.1948179514215393,0.1704752564405475,0.1745687635599952,0.18568367224307947,0.6593531280815934
Regulation Of Translation (GO:0006417),0.289711116117152,0.0428370609045509,0.2503039514684358,0.2384210420706499,0.112873447581796,0.1868293236285169,0.1032116364997876
Kidney Development (GO:0001822),0.2103157593053333,0.1824242380858159,0.1991627891166095,0.1724276063836376,0.1745687635599952,0.18777983129027828,0.6593531280815934
Regulation Of Interleukin-6 Production (GO:0032675),0.2370914379365691,0.245658214849648,0.166197843885568,0.1468968846638165,0.1488055973319645,0.1889299957335132,0.5411726907980937
Regulation Of Transcription By RNA Polymerase III (GO:0006359),0.2143475297625831,0.1851814405149262,0.1991627891166095,0.1724276063836376,0.1745687635599952,0.1891376258675503,0.5782708238704584
Negative Regulation Of DNA-templated Transcription (GO:0045892),0.2370914379365691,0.245658214849648,0.2065352791611362,0.1850651944733128,0.073163195916596,0.18950266446745243,0.6593531280815934
Regulation Of Tumor Necrosis Factor Production (GO:0032680),0.2370914379365691,0.1776006467675266,0.1941776109994797,0.1690405281001085,0.1745687635599952,0.19049579747273582,0.484577512749614
Regulation Of Cell Population Proliferation (GO:0042127),0.2143475297625831,0.1468102803296847,0.2489088295537216,0.2263351533641991,0.1164998908495001,0.1905803367719377,0.1248248121933972
Granulocyte Chemotaxis (GO:0071621),0.2143475297625831,0.1919644694249848,0.2065352791611362,0.1751379974366107,0.177947857923423,0.19318662674174755,0.6593531280815934
Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031110),0.2143475297625831,0.1923584014853486,0.2065352791611362,0.1751379974366107,0.177947857923423,0.19326541315382034,0.4076551092723837
Positive Regulation Of Endocytosis (GO:0045807),0.229507232147978,0.21903887652175,0.2281887932266774,0.1975411619641044,0.0940243001015861,0.1936600727924192,0.5782708238704584
Negative Regulation Of Neuron Apoptotic Process (GO:0043524),0.2143475297625831,0.1924143057180885,0.2067221524566869,0.1783242284898723,0.1828510175838869,0.19493184680222353,0.522497006124799
Regulation Of Apoptotic Signaling Pathway (GO:2001233),0.1348206546045057,0.245658214849648,0.2503039514684358,0.1086672543123113,0.2353457425764912,0.1949591635622784,0.6064936075172899
Positive Regulation Of Cell Population Proliferation (GO:0008284),0.229507232147978,0.1374136518298611,0.2503039514684358,0.2263351533641991,0.1488055973319645,0.19847311722848768,0.5105202221584255
Positive Regulation Of Cellular Component Organization (GO:0051130),0.3052461775793906,0.245658214849648,0.1650220665401278,0.1466294085526033,0.1488055973319645,0.20227229297074686,0.4241424045465394
Regulation Of Chaperone-Mediated Autophagy (GO:1904714),0.2370914379365691,0.245658214849648,0.2503039514684358,0.0546305239645413,0.2353457425764912,0.20460597415913712,0.4241424045465394
Neutrophil Migration (GO:1990266),0.2225199577663345,0.211456434337739,0.221069564964947,0.1885600301324227,0.1944966081648975,0.20762051907326814,0.6593531280815934
Sarcomere Organization (GO:0045214),0.229507232147978,0.213254761944853,0.221069564964947,0.1885600301324227,0.1944966081648975,0.20937763947101967,0.6593531280815934
Protein Hexamerization (GO:0034214),0.0803544723498955,0.245658214849648,0.2503039514684358,0.2384210420706499,0.236724376338909,0.21029241141550767,0.4474848022536893
Embryonic Heart Tube Development (GO:0035050),0.2630336609440732,0.2726888943269179,0.2735826024520059,0.1271662947649522,0.1266479459186353,0.2126238796813169,0.4241424045465394
Regulation Of Gene Expression (GO:0010468),0.2351626303799173,0.245658214849648,0.2503039514684358,0.1378471209539057,0.2066259881727942,0.21511958116494023,0.3386036590903055
Positive Regulation Of Intracellular Protein Transport (GO:0090316),0.2370914379365691,0.245658214849648,0.2503039514684358,0.1690405281001085,0.1739864075367475,0.2152161079783018,0.4086090458833694
Protein Homooligomerization (GO:0051260),0.2370914379365691,0.178240630487982,0.2523539385158002,0.2406703613834244,0.1745687635599952,0.2165850263767542,0.7233942722952652
Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760),0.2618313326606592,0.2140830338077386,0.2230596743987938,0.1926709943424741,0.1995134940772384,0.21823170585738083,0.5749350506903353
Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),0.2630336609440732,0.245658214849648,0.2067221524566869,0.1837908269063578,0.1944966081648975,0.2187402926643327,0.5782708238704584
Regulation Of DNA-templated Transcription (GO:0006355),0.186099769794033,0.245658214849648,0.2503039514684358,0.2380545074196623,0.1759298612534462,0.21920926095704502,0.7145727894891238
Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314),0.267412066069245,0.1374136518298611,0.2811147168535509,0.2702858811870623,0.1430615105844143,0.2198575653048267,0.4474848022536893
Negative Regulation Of Protein Catabolic Process (GO:0042177),0.2370914379365691,0.245658214849648,0.2503039514684358,0.130307617128887,0.2376226962623058,0.22019678352916916,0.6593531280815934
Negative Regulation Of Amyloid Fibril Formation (GO:1905907),0.2472957913841276,0.252273851131702,0.2602349500980565,0.2477566126351718,0.0940243001015861,0.2203171010701288,0.5525222419285132
Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.1326557096338693,0.22075276426163687,0.6593531280815934
Phosphate Ion Transport (GO:0006817),0.267412066069245,0.1374136518298611,0.1557833945539529,0.2702858811870623,0.2758130842256172,0.22134161557314772,0.4474848022536893
Negative Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031111),0.2343168117999402,0.2295159560413001,0.240279458407716,0.2067949826867103,0.2066259881727942,0.22350663942169216,0.6593531280815934
Positive Regulation Of miRNA Metabolic Process (GO:2000630),0.1532835500841748,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2366632205543601,0.22479268887525622,0.3386036590903055
Positive Regulation Of Interleukin-6 Production (GO:0032755),0.2618313326606592,0.2702341914104999,0.2177341544207867,0.1862885189480665,0.1944651778898852,0.2261106750659795,0.4241424045465394
Heart Development (GO:0007507),0.2630336609440732,0.245658214849648,0.2503039514684358,0.1378471209539057,0.2353457425764912,0.22643773815851082,0.7006442454170451
Regulation Of Megakaryocyte Differentiation (GO:0045652),0.1845915813171529,0.1374136518298611,0.2811147168535509,0.2702858811870623,0.2758130842256172,0.22984378308264888,0.4474848022536893
Regulation Of Protein Export From Nucleus (GO:0046825),0.2773286610143205,0.2922113614896583,0.2934096203468829,0.1531612994637733,0.1540959758856246,0.23404138364005195,0.3386036590903055
Regulation Of Amyloid Fibril Formation (GO:1905906),0.2618313326606592,0.2695473559226524,0.2712880695995534,0.2598818504654121,0.1164998908495001,0.23580969989955544,0.6593531280815934
Negative Regulation Of Catalytic Activity (GO:0043086),0.2143475297625831,0.3079634465873495,0.3106455544391795,0.1724276063836376,0.1745687635599952,0.235990580146549,0.6593531280815934
Positive Regulation Of Cell Motility (GO:2000147),0.2380417442982066,0.252273851131702,0.2439687484608031,0.2201925063088225,0.2282542226294279,0.2365462145657924,0.6593531280815934
Actin Nucleation (GO:0045010),0.2815529084799583,0.1632693922382464,0.2990130027111484,0.2865641547703209,0.1588213001235602,0.23784415166464684,0.5105202221584255
Cellular Response To Glucose Stimulus (GO:0071333),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2263351533641991,0.2309001505440535,0.23805778163258112,0.4474848022536893
ATP Metabolic Process (GO:0046034),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2263351533641991,0.2309001505440535,0.23805778163258112,0.6678907590769687
Superoxide Metabolic Process (GO:0006801),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2263351533641991,0.2309001505440535,0.23805778163258112,0.6678907590769687
Hepaticobiliary System Development (GO:0061008),0.2815529084799583,0.2972787676551901,0.2990130027111484,0.1593633568003239,0.1588213001235602,0.23920586715403616,0.6593531280815934
Calcium Ion Transmembrane Transport (GO:0070588),0.2320541558014963,0.2240246818056574,0.2735826024520059,0.2639390407271239,0.2066259881727942,0.24004529379181552,0.6623396613508814
Negative Regulation Of Neuron Death (GO:1901215),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2337795848959287,0.2353457425764912,0.24043578634541457,0.6593531280815934
Cellular Response To Chemical Stress (GO:0062197),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2361679508434797,0.2353457425764912,0.2409134595349248,0.6593531280815934
Response To Testosterone (GO:0033574),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Epithelial Tube Branching Involved In Lung Morphogenesis (GO:0060441),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Response To Organonitrogen Compound (GO:0010243),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.641422448526083
Bradykinin Catabolic Process (GO:0010815),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Gastrulation With Mouth Forming Second (GO:0001702),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Humoral Immune Response Mediated By Circulating Immunoglobulin (GO:0002455),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Response To Lipid (GO:0033993),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Hydrogen Peroxide Biosynthetic Process (GO:0050665),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Regulation Of Mitochondrial Membrane Potential (GO:0051881),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Regulation Of Stress Granule Assembly (GO:0062028),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Regulation Of Phospholipid Transport (GO:2001138),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Kidney Morphogenesis (GO:0060993),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
NADH Metabolic Process (GO:0006734),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Cytochrome Complex Assembly (GO:0017004),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Cytoplasmic Sequestering Of NF-kappaB (GO:0007253),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Sodium-Dependent Phosphate Transport (GO:0044341),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Immunological Synapse Formation (GO:0001771),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Mitral Valve Development (GO:0003174),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Negative Regulation Of Circadian Rhythm (GO:0042754),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Negative Regulation Of Mitochondrial Membrane Potential (GO:0010917),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Neuroepithelial Cell Differentiation (GO:0060563),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Regulation Of Receptor-Mediated Endocytosis (GO:0048259),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6980333411470989
Nucleolar Chromatin Organization (GO:1990700),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Positive Regulation By Host Of Viral Genome Replication (GO:0044829),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Positive Regulation Of Membrane Potential (GO:0045838),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
protein-RNA Complex Disassembly (GO:0032988),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Positive Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000379),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Zymogen Activation (GO:0031638),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),0.2370914379365691,0.245658214849648,0.2503039514684358,0.2380545074196623,0.2353457425764912,0.24129077085016126,0.6593531280815934
