Term,Adjusted P-value using selected genes (82712),Adjusted P-value using selected genes (29873),Adjusted P-value using selected genes (52382),Adjusted P-value using selected genes (19442),Adjusted P-value using selected genes (79815),Avg. adjusted P-value using selected genes,Adjusted P-value using all expressed genes
High-Density Lipoprotein Particle Assembly (GO:0034380),0.0004450388894507639,0.0003639925323406286,0.0006670527558283091,0.0003652055775760536,0.0004292890238183687,0.00045411575580282473,0.2609540755246468
Platelet Aggregation (GO:0070527),0.0006423069541554586,0.0005037901260676022,0.00121303526714,5.194958290954982e-05,0.0006965305111556563,0.0006215224882856535,0.0072355885541983
Proton Transmembrane Transport (GO:1902600),4.502810836863802e-05,0.0023941595533242,0.0008355464554384901,4.278082870113548e-05,4.4700157497644506e-05,0.0006724430206660217,0.9244420925618936
Vitamin Transport (GO:0051180),0.000939466668306532,0.0008578658010707668,0.0019870856239713,9.726069502550152e-05,0.0011374125581456,0.00100381826930394,0.9071602091859388
Regulation Of Protein Localization To Plasma Membrane (GO:1903076),0.00091660665456335,0.0008030475828018522,0.0019870856239713,0.0010040038254001,0.0011374125581456,0.0011696312489764406,0.0235666339301825
Phospholipid Transport (GO:0015914),0.0009679403670539592,0.0008578658010707668,0.0019870856239713,0.0010130249170223,0.0011879080055735,0.0012027649429383652,0.0884187816236529
Triglyceride Metabolic Process (GO:0006641),0.0018442808135609,0.00019400574098777529,0.0005263876344651285,0.0018811041519249,0.0018953020623311,0.0012682160806539607,0.9787261477812356
Homotypic Cell-Cell Adhesion (GO:0034109),0.0020170569488881,0.0017994798075285,0.0039221494979768,2.8197690764335845e-05,0.0020114546037729,0.0019556677097861274,0.0461714687477484
Negative Regulation Of Cell-Cell Adhesion (GO:0022408),0.0067522875787837,0.000903765598511633,0.0019870856239713,0.0010130249170223,0.00013922343618404372,0.0021590774308945953,0.0762977958384008
Zymogen Activation (GO:0031638),0.0018442808135609,0.0016533363764448,0.0035813001706489,0.0018811041519249,0.0018953020623311,0.00217106471498212,0.7578965855553096
Cellular Response To Thyroid Hormone Stimulus (GO:0097067),0.0008411877644026503,0.0103856230944084,0.0014368888601962,0.0008426665259801811,0.000978302342243815,0.0028969337174462495,0.3742258696699186
N-acetylneuraminate Catabolic Process (GO:0019262),0.0028818146111002,0.0025157589336629,0.0040633060064432,0.0026663849209811,0.0026118845798424,0.00294782981040596,0.2016054613384853
Response To Thyroid Hormone (GO:0097066),0.001031574975792,0.0112839891732292,0.0019870856239713,0.0010130249170223,0.0011879080055735,0.0033007165391176598,0.2951791896743549
Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902041),0.0030941002723931,0.0025157589336629,0.0052683426508698,0.0030095734304239,0.0027958491234411,0.0033367248821581604,0.2016054613384853
Secondary Alcohol Metabolic Process (GO:1902652),0.010460032869448,0.0019560121965602,0.0041443470320201,0.0023378995327702,0.00035370381001264905,0.0038503990881622297,0.9999975905668662
Positive Regulation Of Hormone Secretion (GO:0046887),0.0045468045306455,0.0003639925323406286,0.0077994704221573,0.0043281797681129,0.0045223602063517,0.004312161491921606,0.8864260688151782
Amino Sugar Catabolic Process (GO:0046348),0.0040536464409635,0.0037635409241382,0.0059981479440548,0.0038496321518289,0.0039136309504856,0.0043157196822942,0.1485276808001292
Regulation Of Cdc42 Protein Signal Transduction (GO:0032489),0.0040536464409635,0.0037635409241382,0.0059981479440548,0.0038496321518289,0.0039136309504856,0.0043157196822942,0.7775950310171005
Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900026),0.0044047964839565,0.0040351595883022,0.0077994704221573,0.0042642135410058,0.0044555241839317,0.0049918328438707,0.0205687950101036
Acylglycerol Metabolic Process (GO:0006639),0.0071515115064685,0.000997633164965612,0.0021582144977903,0.0076791920876874,0.0077027645781573,0.005137863167013823,0.6758467435061777
Plasminogen Activation (GO:0031639),0.0050892660166684,0.0051366458026764,0.0077994704221573,0.0049892008343874,0.0050971921944391,0.0056223550540657205,0.9369591190932004
Negative Regulation Of Lipase Activity (GO:0060192),0.0050892660166684,0.0051366458026764,0.0077994704221573,0.0049892008343874,0.0050971921944391,0.0056223550540657205,0.6717233541232421
Negative Regulation Of Cellular Component Organization (GO:0051129),0.0041353059510893,0.0131289096333683,0.0077994704221573,0.0041564181795985,0.0043428926669949,0.00671259937064166,0.2892641002095203
Positive Regulation Of Endocytosis (GO:0045807),0.0131373866368667,0.0131289096333683,0.0077994704221573,0.0041564181795985,0.0043428926669949,0.00851301550779714,0.881548871053179
Sterol Metabolic Process (GO:0016125),0.0208430361324955,0.0051547285968581,0.0107181059979547,0.0057308594988204,0.001219919215523,0.00873332988833034,0.9999975905668662
Regulation Of Cholesterol Transport (GO:0032374),0.0077290779131643,0.007758262409194,0.0135269378177576,0.0081228380535176,0.0081544290619902,0.00905830905112474,0.6143840871403287
N-acetylneuraminate Metabolic Process (GO:0006054),0.0081781329939091,0.008101179861911,0.0135269378177576,0.008577339521202,0.0084518813156193,0.009367094302079802,0.2058458542056212
Negative Regulation Of Cholesterol Transport (GO:0032375),0.0081781329939091,0.008101179861911,0.0135269378177576,0.008577339521202,0.0084518813156193,0.009367094302079802,0.4630559139068345
Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034114),0.0081781329939091,0.008101179861911,0.0147937421655397,0.0085923787146697,0.0085134965992864,0.00963578606706318,0.3519345564241804
Regulation Of Early Endosome To Late Endosome Transport (GO:2000641),0.0045468045306455,0.0291459698241288,0.0077994704221573,0.0043281797681129,0.0045223602063517,0.01006855695027924,0.0589930899997644
Negative Regulation Of Endothelial Cell Apoptotic Process (GO:2000352),0.009998291683687,0.0103856230944084,0.0175748042712411,0.0110327385165197,0.0016251306119055,0.01012331763555234,0.1485276808001292
Fibrinolysis (GO:0042730),0.0109081714671146,0.0112839891732292,0.0175772845868217,0.0010130249170223,0.0121930809240993,0.01059511021365742,0.9967595229812664
Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900024),0.0125580678109881,0.0026023428634147,0.0232547696485644,0.0032796849591404,0.0144238756992306,0.01122374819626764,0.0069034579616178
Positive Regulation Of Cell-Cell Adhesion (GO:0022409),0.0097574251147588,0.0099317041160594,0.0175772845868217,0.011003471503268,0.0104192774546699,0.01173783255511556,0.7020559346116748
Protein Catabolic Process (GO:0030163),0.0036055822480756,0.0104687614735948,0.0213845311177618,0.012366224935198,0.0121930809240993,0.012003636139745899,0.0999389285830174
Cholesterol Metabolic Process (GO:0008203),0.0285319033656365,0.0080243999145656,0.0158576011148415,0.0086735154486959,0.0020104553003222,0.01261957502881234,0.6415096102736809
Regulation Of Peptidase Activity (GO:0052547),0.0109081714671146,0.0110142169827222,0.0175772845868217,0.012366224935198,0.0119697225546059,0.012767124105292479,0.9999975905668662
Positive Regulation Of Sodium Ion Transmembrane Transporter Activity (GO:2000651),0.0109081714671146,0.0112839891732292,0.0175772845868217,0.012366224935198,0.0121930809240993,0.01286575021729256,0.2951791896743549
Positive Regulation Of Vasoconstriction (GO:0045907),0.0109081714671146,0.0112839891732292,0.0175772845868217,0.012366224935198,0.0121930809240993,0.01286575021729256,0.9999975905668662
Sodium Ion Export Across Plasma Membrane (GO:0036376),0.0109081714671146,0.0112839891732292,0.0175772845868217,0.012366224935198,0.0121930809240993,0.01286575021729256,0.8168002065377724
Negative Regulation Of Blood Coagulation (GO:0030195),0.0131373866368667,0.013501680995725,0.0232547696485644,0.0026663849209811,0.0153210576996248,0.013576255980352397,0.9719784933386288
Golgi Lumen Acidification (GO:0061795),0.0004450388894507639,0.0535909636487414,0.0106381242881697,0.0003652055775760536,0.0069515740783617,0.014398181296459922,0.2609540755246468
Protein Localization To Plasma Membrane (GO:0072659),0.0110854406572557,0.0112839891732292,0.0233670477059102,0.0136189886526175,0.0134502683455239,0.0145611469069073,0.0036168641098974
Triglyceride-Rich Lipoprotein Particle Remodeling (GO:0034370),0.0050892660166684,0.0051366458026764,0.0077994704221573,0.052655957969185,0.0050971921944391,0.015155706481025242,0.3366975012175324
Intracellular Potassium Ion Homeostasis (GO:0030007),0.0129899054343903,0.0134473952375522,0.0213845311177618,0.0148107807605883,0.0146607678814498,0.015458676086348478,0.9999975905668662
Proteolysis Involved In Protein Catabolic Process (GO:0051603),0.0128218536694532,0.0126433886891604,0.0238037724632835,0.0151366405696809,0.014994137659336,0.0158799586101828,0.0571225525901247
Protein Localization To Cell Periphery (GO:1990778),0.0130239623122322,0.0126433886891604,0.028002722653436,0.0160886849087612,0.0157465361689772,0.0171010589465134,0.0047122354217751
Protein Transport (GO:0015031),0.0085787356053455,0.0079629945165474,0.045198147098,0.023337530051615,0.0017036263312297,0.017356206720547517,9.112411472034848e-11
Regulation Of Protein Secretion (GO:0050708),0.0036055822480756,0.0104687614735948,0.0213845311177618,0.012366224935198,0.0394257470562764,0.017450169366181316,0.7294544620761436
"Blood Coagulation, Fibrin Clot Formation (GO:0072378)",0.0145532629183708,0.0157773300903787,0.0233670477059102,0.017008915634456,0.0171218120854521,0.01756567368691356,0.6617939012279414
Protein Activation Cascade (GO:0072376),0.0145532629183708,0.0157773300903787,0.0233670477059102,0.017008915634456,0.0171218120854521,0.01756567368691356,0.6617939012279414
Positive Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034116),0.0145532629183708,0.0157773300903787,0.0233670477059102,0.017008915634456,0.0171218120854521,0.01756567368691356,0.8700913184557386
Regulation Of Endocytosis (GO:0030100),0.0272688237233225,0.0279030514564087,0.0156699373157968,0.008577339521202,0.0084518813156193,0.01757420666646986,0.0481956674541837
Receptor-Mediated Endocytosis (GO:0006898),0.0209578095499836,0.0208620193975843,0.0158576011148415,0.0263687613641065,0.0084518813156193,0.01849961454842704,0.03649531642604
Endosomal Lumen Acidification (GO:0048388),0.0008411877644026503,0.0711155560207293,0.0158576011148415,0.0008426665259801811,0.0104192774546699,0.019815257776124705,0.1628671783985134
Regulation Of Lipoprotein Lipase Activity (GO:0051004),0.0172488137675763,0.0187557692225669,0.0278920761779514,0.0202796560302583,0.0204416228643079,0.020923587612532157,0.3219742274843729
Negative Regulation Of Endocytosis (GO:0045806),0.017158751211842,0.0179810226625751,0.0293836264526279,0.0202796560302583,0.0204416228643079,0.02104893584432224,0.3570919452750915
Regulation Of Phagocytosis (GO:0050764),0.0184272725141294,0.0189166554854621,0.034134943002842,0.0220073312714948,0.022210763857709,0.023139393226327458,0.9999975905668662
Carboxylic Acid Catabolic Process (GO:0046395),0.0235298723820389,0.0248669133158525,0.0377393237225015,0.0034551989688024,0.0276677493164832,0.0234518115411357,0.1011446330380207
Negative Regulation Of Epithelial Cell Apoptotic Process (GO:1904036),0.0257611924805461,0.0268706136999827,0.0415919846847139,0.0305546121779095,0.005672636618427,0.026090207932315847,0.1855147168912652
Fatty Acid Transport (GO:0015908),0.0055215467469272,0.0268706136999827,0.0415919846847139,0.0305546121779095,0.0295159554720333,0.026810942556313323,0.6945797271787795
Positive Regulation Of Leukocyte Differentiation (GO:1902107),0.0040536464409635,0.0400833093140538,0.0059981479440548,0.0457537441906587,0.0448391536114292,0.028145600300232006,0.4368091315278222
Regulation Of Viral Entry Into Host Cell (GO:0046596),0.0085787356053455,0.0336557189302333,0.0158576011148415,0.0428732607431481,0.0415189264489322,0.02849684856850012,0.9999975905668662
Positive Regulation Of Exocytosis (GO:0045921),0.0239724261533579,0.0248669133158525,0.0398863637588144,0.0290889370511715,0.0287599042483304,0.029314908905505345,0.0699743942186075
Leucine Transport (GO:0015820),0.0067522875787837,0.00704554727758,0.0750033157714573,0.0069361985568998,0.0560213111932545,0.03035173207559506,0.5554089925266257
Regulation Of Protein Localization To Membrane (GO:1905475),0.0538745909375298,0.0530678198795869,0.0198180066427161,0.0128352673427726,0.0126660499260143,0.030452346945723942,0.1953334765306826
Positive Regulation Of Protein Secretion (GO:0050714),0.000733931271048026,0.0382731266449727,0.0232547696485644,0.0457537441906587,0.0448391536114292,0.030570945073334604,0.0461714687477484
Negative Regulation Of Lipoprotein Lipase Activity (GO:0051005),0.0263613550660457,0.0279030514564087,0.0398863637588144,0.0305546121779095,0.0295159554720333,0.030844267586242324,0.6717233541232421
Regulation Of Very-Low-Density Lipoprotein Particle Remodeling (GO:0010901),0.0263613550660457,0.0279030514564087,0.0398863637588144,0.0305546121779095,0.0295159554720333,0.030844267586242324,0.2609540755246468
Induction Of Bacterial Agglutination (GO:0043152),0.0263613550660457,0.0279030514564087,0.0398863637588144,0.0305546121779095,0.0295159554720333,0.030844267586242324,0.9999975905668662
Lipoprotein Metabolic Process (GO:0042157),0.0263613550660457,0.0279030514564087,0.0398863637588144,0.0305546121779095,0.0295159554720333,0.030844267586242324,0.6717233541232421
tRNA Transport (GO:0051031),0.0263613550660457,0.0279030514564087,0.0398863637588144,0.0305546121779095,0.0295159554720333,0.030844267586242324,0.6717233541232421
Intracellular Sodium Ion Homeostasis (GO:0006883),0.0263613550660457,0.0278719522267391,0.0400987979710217,0.0305546121779095,0.0295159554720333,0.030880534582749863,0.9999975905668662
Negative Regulation Of Lipid Catabolic Process (GO:0050995),0.0263613550660457,0.0278719522267391,0.0400987979710217,0.0305546121779095,0.0295159554720333,0.030880534582749863,0.9999975905668662
Transport Across Blood-Brain Barrier (GO:0150104),0.0171829447281195,0.0175334226492402,0.0822781767239789,0.0207103452446896,0.0211362547086877,0.031768228810943176,0.2822142890294036
Regulation Of Endothelial Cell Apoptotic Process (GO:2000351),0.0342065929651725,0.0327730919947473,0.0561619983724255,0.0400911957530596,0.0016251306119055,0.03297160193946208,0.3118435699831164
Positive Regulation Of Secretion By Cell (GO:1903532),0.0109076108594644,0.0104687614735948,0.0611802772248881,0.0441104126207295,0.043522606024673,0.03403793364066996,0.113424131602434
Branched-Chain Amino Acid Transport (GO:0015803),0.0081781329939091,0.008101179861911,0.0822781767239789,0.008577339521202,0.0632147379530871,0.03406991341081762,0.4630559139068345
Epithelial Cell Differentiation (GO:0030855),0.0684706138414434,0.0279030514564087,0.0555852930912523,0.0122242409652968,0.0117901588458316,0.03519467164004656,0.9999975905668662
Negative Regulation Of Viral Life Cycle (GO:1903901),0.0050892660166684,0.0051366458026764,0.0083846937319231,0.0049961482193884,0.1562648933366677,0.0359743294214648,0.9999975905668662
Negative Regulation Of Protein Localization To Plasma Membrane (GO:1903077),0.0317198913480219,0.0317264476103041,0.0490400100108667,0.0384836795217504,0.0373121861663865,0.03765644293146592,0.2432190143933308
Negative Regulation Of Protein Localization To Cell Periphery (GO:1904376),0.0317198913480219,0.0317264476103041,0.0490400100108667,0.0384836795217504,0.0373121861663865,0.03765644293146592,0.2432190143933308
Negative Regulation Of Apoptotic Process (GO:0043066),0.0285319033656365,0.0429199827983528,0.0232547696485644,0.0392619317431966,0.0560213111932545,0.03799797974980096,0.0017740255928853
Regulation Of Macroautophagy (GO:0016241),0.0263613550660457,0.0278719522267391,0.0490400100108667,0.0797949656366126,0.0095574770052885,0.03852515198911052,0.0042507850737391
Monocarboxylic Acid Transport (GO:0015718),0.0109076108594644,0.0336725119000975,0.0611802772248881,0.0441104126207295,0.043522606024673,0.0386786837259705,0.9999975905668662
Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),0.1220914028354722,0.0080243999145656,0.0153776449955988,0.008577339521202,0.0394257470562764,0.038699306864622994,0.0417659362892924
Positive Regulation Of Amyloid-Beta Clearance (GO:1900223),0.0342065929651725,0.0336557189302333,0.0490400100108667,0.0400911957530596,0.0394257470562764,0.0392838529431217,0.8950586249543655
Negative Regulation Of Lipoprotein Particle Clearance (GO:0010985),0.0342065929651725,0.0336557189302333,0.0490400100108667,0.0400911957530596,0.0394257470562764,0.0392838529431217,0.2016054613384853
Regulation Of Intestinal Cholesterol Absorption (GO:0030300),0.0342065929651725,0.0336557189302333,0.0490400100108667,0.0400911957530596,0.0394257470562764,0.0392838529431217,0.9999975905668662
Regulation Of Primary Metabolic Process (GO:0080090),0.0342065929651725,0.0327730919947473,0.0561619983724255,0.0400911957530596,0.0394257470562764,0.04053172522833626,0.5880561189270559
Lipid Transport (GO:0006869),0.0128218536694532,0.0360613367348795,0.0658056996937642,0.0457537441906587,0.0448391536114292,0.041056357580036965,0.9369591190932004
Positive Regulation Of Cell-Substrate Adhesion (GO:0010811),0.0342065929651725,0.0327730919947473,0.0593350948732859,0.0408193144294609,0.0398307642873558,0.04139297171000448,0.0099661760395374
Lysosomal Lumen Acidification (GO:0007042),0.0040536464409635,0.1317738349154762,0.0400987979710217,0.0039202086820661,0.0295159554720333,0.04187248869631217,0.0215229791156864
Sterol Transport (GO:0015918),0.0463546403021704,0.0440487466766974,0.0158576011148415,0.052655957969185,0.0509670837928149,0.04197680597114184,0.1821908104246913
Regulation Of Apoptotic Process (GO:0042981),0.0109081714671146,0.0295453029249721,0.0232547696485644,0.0457537441906587,0.1008470684025039,0.042061811326762746,5.750414192830589e-09
Regulation Of Dendritic Cell Differentiation (GO:2001198),0.0081781329939091,0.062480161257106,0.0135269378177576,0.0671176676603954,0.0632147379530871,0.04290352753645104,0.9999975905668662
Response To Calcium Ion (GO:0051592),0.0373028893130138,0.0336557189302333,0.0643245333099723,0.0447359150793291,0.0441665738402769,0.04483712609456508,0.9223477152520988
Protein Localization To Membrane (GO:0072657),0.0455545978294433,0.0400833093140538,0.0416148670698276,0.052655957969185,0.0512239594379219,0.04622653832408632,0.0020235713884163
Negative Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902042),0.0406031106242752,0.0390760273150066,0.0611802772248881,0.0457537441906587,0.0448391536114292,0.046290462593251556,0.1399764642352677
Regulation Of Cholesterol Metabolic Process (GO:0090181),0.0406031106242752,0.0390760273150066,0.0611802772248881,0.0457537441906587,0.0448391536114292,0.046290462593251556,0.2568115768019466
Regulation Of Lipid Catabolic Process (GO:0050994),0.0406031106242752,0.0390760273150066,0.0611802772248881,0.0457537441906587,0.0448391536114292,0.046290462593251556,0.9369591190932004
Potassium Ion Homeostasis (GO:0055075),0.0406031106242752,0.0390760273150066,0.0611802772248881,0.0457537441906587,0.0448391536114292,0.046290462593251556,0.9999975905668662
Fructose Transmembrane Transport (GO:0015755),0.0406031106242752,0.0400833093140538,0.0609319592746239,0.0457537441906587,0.0448391536114292,0.046442255403008156,0.9999975905668662
Glycine Metabolic Process (GO:0006544),0.0406031106242752,0.0400833093140538,0.0609319592746239,0.0457537441906587,0.0448391536114292,0.046442255403008156,0.9999975905668662
"Neurotransmitter Receptor Transport, Endosome To Plasma Membrane (GO:0099639)",0.0406031106242752,0.0400833093140538,0.0609319592746239,0.0457537441906587,0.0448391536114292,0.046442255403008156,0.7775950310171005
Positive Regulation Of Protein Transport (GO:0051222),0.0095641965248794,0.0317264476103041,0.0571417203889019,0.0400911957530596,0.0973513057016559,0.04717497319576018,0.0058499763852863
Response To Lipid (GO:0033993),0.0406031106242752,0.0382731266449727,0.0677153713869066,0.0470579506418934,0.0461381930227262,0.04795755046415482,0.4738312717207964
Establishment Of Apical/Basal Cell Polarity (GO:0035089),0.0145532629183708,0.0970234375669663,0.0233670477059102,0.017008915634456,0.0973513057016559,0.04986079390547184,0.0746286429351834
Sodium Ion Homeostasis (GO:0055078),0.0463546403021704,0.0440487466766974,0.0658056996937642,0.052655957969185,0.0509670837928149,0.051966425686926374,0.9999975905668662
Negative Regulation Of Protein Localization To Membrane (GO:1905476),0.0463546403021704,0.0440487466766974,0.0658056996937642,0.052655957969185,0.0509670837928149,0.051966425686926374,0.2951791896743549
Cellular Component Assembly (GO:0022607),0.0144513129918429,0.0314362492583738,0.0658056996937642,0.0761502964043955,0.0724941231807291,0.0520675363058211,0.2127216873816076
Astral Microtubule Organization (GO:0030953),0.0467867444200855,0.0448693130762876,0.0658056996937642,0.052655957969185,0.0512239594379219,0.052268334919448836,0.3366975012175324
Cobalamin Transport (GO:0015889),0.0467867444200855,0.0448693130762876,0.0658056996937642,0.052655957969185,0.0512239594379219,0.052268334919448836,0.6717233541232421
Positive Regulation Of Peptide Secretion (GO:0002793),0.0467867444200855,0.0448693130762876,0.0658056996937642,0.052655957969185,0.0512239594379219,0.052268334919448836,0.9999975905668662
Dehydroascorbic Acid Transport (GO:0070837),0.0467867444200855,0.0448693130762876,0.0658056996937642,0.052655957969185,0.0512239594379219,0.052268334919448836,0.9999975905668662
Regulation Of Epithelial Cell Migration (GO:0010632),0.0463546403021704,0.0439468267548665,0.0686465164844221,0.052655957969185,0.0512239594379219,0.052565580189713176,0.00031217302377859667
Negative Regulation Of Receptor-Mediated Endocytosis (GO:0048261),0.0467867444200855,0.0448693130762876,0.0686465164844221,0.052655957969185,0.0512239594379219,0.052836498277580426,0.0275371952506558
Regulation Of Vasoconstriction (GO:0019229),0.0467867444200855,0.0448693130762876,0.0686465164844221,0.052655957969185,0.0512239594379219,0.052836498277580426,0.9999975905668662
Negative Regulation Of Lipid Metabolic Process (GO:0045833),0.0467867444200855,0.0448693130762876,0.0686465164844221,0.052655957969185,0.0512239594379219,0.052836498277580426,0.9999975905668662
Regulation Of Fatty Acid Biosynthetic Process (GO:0042304),0.0467867444200855,0.0448693130762876,0.0686465164844221,0.052655957969185,0.0512239594379219,0.052836498277580426,0.0078585679353719
Organelle Membrane Fusion (GO:0090174),0.0467867444200855,0.0448693130762876,0.0686465164844221,0.052655957969185,0.0512239594379219,0.052836498277580426,0.7731400242037708
Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),0.0467867444200855,0.0448693130762876,0.0686465164844221,0.052655957969185,0.0512239594379219,0.052836498277580426,0.9999975905668662
Positive Regulation Of Viral Entry Into Host Cell (GO:0046598),0.0109081714671146,0.0801529119876627,0.0175772845868217,0.0851709901855007,0.0804990968195714,0.054861691009334225,0.8168002065377724
Positive Regulation By Symbiont Of Entry Into Host (GO:0075294),0.0109081714671146,0.0801529119876627,0.0175772845868217,0.0851709901855007,0.0804990968195714,0.054861691009334225,0.8168002065377724
Protein-Containing Complex Organization (GO:0043933),0.0242925152277254,0.024263616601525,0.0956327389422378,0.0671176676603954,0.0632147379530871,0.05490425527699414,0.0023473175361761
Regulation Of Peptide Hormone Secretion (GO:0090276),0.0474903419856181,0.0448693130762876,0.0750033157714573,0.0546464801763367,0.0535091255374836,0.055103715309436654,0.9999975905668662
Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338),0.0285319033656365,0.0291459698241288,0.0449554713412686,0.1497287104045991,0.0326205454450761,0.056996520076141824,0.9999975905668662
Neurotransmitter Receptor Transport To Postsynaptic Membrane (GO:0098969),0.0538745909375298,0.0535909636487414,0.0750033157714573,0.0597786207718241,0.0560213111932545,0.059653760464561424,0.853167761408347
Serine Family Amino Acid Catabolic Process (GO:0009071),0.0538745909375298,0.0535909636487414,0.0750033157714573,0.0597786207718241,0.0560213111932545,0.059653760464561424,0.5554089925266257
Positive Regulation Of Sodium Ion Transmembrane Transport (GO:1902307),0.0538745909375298,0.0535909636487414,0.0750033157714573,0.0597786207718241,0.0560213111932545,0.059653760464561424,0.2609540755246468
Regulation Of Lipid Metabolic Process (GO:0019216),0.0526119338467358,0.0500248011485827,0.0822781767239789,0.0597786207718241,0.0560213111932545,0.060142968736875205,0.5967384484374411
Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535),0.0526119338467358,0.0500248011485827,0.0822781767239789,0.0597786207718241,0.0560213111932545,0.060142968736875205,0.008211929817758
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),0.0538745909375298,0.0530678198795869,0.0801462586009412,0.0601198869335996,0.0563743377158674,0.060716578813504986,0.9999975905668662
Protein Polymerization (GO:0051258),0.0244832584841643,0.0720142935645259,0.1093318383084992,0.0305278919633422,0.0804990968195714,0.0633712758280206,0.1257038327331737
Protein Kinase A Signaling (GO:0010737),0.020399949607639,0.11727357004473,0.0321069704033793,0.1248401022368889,0.0237894517145661,0.06368200880144066,0.9999975905668662
Placenta Development (GO:0001890),0.0067522875787837,0.0069843324577987,0.2195221401903448,0.0441104126207295,0.0435288703842893,0.0641796086463892,0.1638269855382891
Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536),0.0399199246914655,0.0376192857639176,0.0622591710986912,0.0457537441906587,0.1363257846401936,0.06437558207698532,0.0461714687477484
Glutamine Family Amino Acid Biosynthetic Process (GO:0009084),0.0722801346180143,0.0711155560207293,0.0932998501875446,0.0761502964043955,0.0104192774546699,0.06465302293707073,0.6717233541232421
Regulation Of Lysosomal Lumen pH (GO:0035751),0.0091374134347581,0.1905712528633338,0.0658056996937642,0.0097659590816064,0.0509670837928149,0.06524948177325547,0.1821908104246913
Endosome Organization (GO:0007032),0.0137660657124013,0.1626323682105404,0.078914449171865,0.0164986792905994,0.0550712686335602,0.06537656620379326,0.010279452727595
Negative Regulation Of Hydrolase Activity (GO:0051346),0.0406031106242752,0.1324915451951268,0.0643245333099723,0.0457537441906587,0.0448391536114292,0.06560241738629244,0.6717233541232421
Protein-Containing Complex Assembly (GO:0065003),0.0467867444200855,0.0404315052826577,0.0917276240353744,0.0539028222175963,0.0973513057016559,0.06604000033147396,4.576908819976007e-06
