Term,Adjusted P-value using selected genes (82712),Adjusted P-value using selected genes (29873),Adjusted P-value using selected genes (52382),Adjusted P-value using selected genes (19442),Adjusted P-value using selected genes (79815),Avg. adjusted P-value using selected genes,Adjusted P-value using all expressed genes
Ribosome Biogenesis (GO:0042254),1.4791514287961983e-05,1.6331592704191384e-05,7.93067269563532e-05,1.7320908501118946e-05,1.4621030314280757e-05,2.8474354552781254e-05,6.780911483266557e-10
Ribosome Assembly (GO:0042255),8.662649212491212e-05,9.279136793754596e-05,7.93067269563532e-05,9.550027159921776e-05,8.562805286331873e-05,8.797058229626955e-05,0.0026368131119004
Ribosomal Large Subunit Biogenesis (GO:0042273),0.00015149318471671127,0.0001604903897227101,0.00013876628277810314,0.00016151458977397483,0.00014974710520021788,0.00015240231043834343,0.0073726664521969
Positive Regulation Of CoA-transferase Activity (GO:1905920),0.00015324984080211171,0.0001604903897227101,0.00014518144736341685,0.00016151458977397483,0.00015148351442623663,0.00015438395641769002,0.8353557600734015
Regulation Of CoA-transferase Activity (GO:1905918),0.00015324984080211171,0.0001604903897227101,0.00014518144736341685,0.00016151458977397483,0.00015148351442623663,0.00015438395641769002,0.8353557600734015
Triglyceride Metabolic Process (GO:0006641),0.0003936623387576961,0.00041909583847242135,0.0003940775416918864,0.0004287079933882326,0.00040469006969633104,0.00040804675640131345,0.9688080936887008
High-Density Lipoprotein Particle Assembly (GO:0034380),0.0004585182461903922,0.0004801041831418451,0.000469241764051294,0.00048309003705848566,0.0004706655145972348,0.00047232394900785036,0.3036022959723437
Carbohydrate Catabolic Process (GO:0016052),0.0002228302907053368,0.0023818999066317,0.0022447280305971,0.0002428374142401712,0.002090456751059,0.0014365504786466616,0.80700492896284
Phospholipid Transport (GO:0015914),0.0021295857883316,0.000271366518726325,0.0021904944908185,0.0023933036403355,0.0002610601181612996,0.0014491621112746448,0.2140991497584617
Negative Regulation Of Cell-Cell Adhesion (GO:0022408),0.0021295857883316,0.00019944819439714876,0.0021651327872463,0.0023191323182424,0.0019887746112787,0.0017604147398992299,0.1196154192917057
Acylglycerol Metabolic Process (GO:0006639),0.0022512726373193,0.0023818999066317,0.0022447280305971,0.0025022838155512,0.002090456751059,0.00229412822823166,0.80700492896284
Glycolytic Process (GO:0006096),0.00034498684252092334,0.0043388561542313,0.004120970471827,0.0003718450617665429,0.0037455529242227,0.002584442290913693,0.5083614033063799
N-acetylneuraminate Catabolic Process (GO:0019262),0.003971678655107,0.0041325563367776,0.0040446256601195,0.0043989347004667,0.0035987434063449,0.00402930775176314,0.2429433504769355
Protein Transport (GO:0015031),0.0021295857883316,0.0057545874617272,0.0055619868875605,0.0065086004165948,0.0019998074158422,0.00439091359401126,8.756106409248586e-09
Secondary Alcohol Metabolic Process (GO:1902652),0.0044034184347542,0.0045271955710655,0.0043596188514349,0.0051752669701928,0.0040090340434851,0.0044949067741864995,0.999997650764369
Proton Transmembrane Transport (GO:1902600),0.0054320314420661,0.0055880863144183,0.0053703289347836,0.006206765212978,0.0048324806610565,0.0054859385130604996,0.999997650764369
Amino Sugar Catabolic Process (GO:0046348),0.0055292160975325,0.0057533577932423,0.0055619868875605,0.006206765212978,0.0050933794782736,0.00562894109391738,0.1856128765728314
Regulation Of Endodeoxyribonuclease Activity (GO:0032071),0.0055292160975325,0.0057533577932423,0.0055619868875605,0.006206765212978,0.0050933794782736,0.00562894109391738,0.4942179547713299
Regulation Of Cdc42 Protein Signal Transduction (GO:0032489),0.0055292160975325,0.0057533577932423,0.0055619868875605,0.006206765212978,0.0050933794782736,0.00562894109391738,0.8353557600734015
Negative Regulation Of Catabolic Process (GO:0009895),0.0055292160975325,0.0057545874617272,0.0055619868875605,0.0064543344257083,0.005101121649586,0.0056802493044229,0.469833431927681
Cobalamin Transport (GO:0015889),0.0077951801159802,0.0077718043615034,0.0077979714811635,0.0084765930804607,0.0066876487779187,0.007705839563405299,0.725487854300617
Triglyceride-Rich Lipoprotein Particle Remodeling (GO:0034370),0.0077951801159802,0.0077718043615034,0.0077979714811635,0.0084765930804607,0.0066876487779187,0.007705839563405299,0.3897194278487833
Negative Regulation Of Lipase Activity (GO:0060192),0.0077951801159802,0.0077718043615034,0.0077979714811635,0.0084765930804607,0.0066876487779187,0.007705839563405299,0.3897194278487833
Negative Regulation Of Ubiquitin Protein Ligase Activity (GO:1904667),0.0077951801159802,0.0077718043615034,0.0077979714811635,0.0084765930804607,0.0066876487779187,0.007705839563405299,0.3897194278487833
Negative Regulation Of Viral Life Cycle (GO:1903901),0.0088472468980515,0.0088778075246103,0.0087676734941791,0.0097184904527867,0.0076116285337578,0.008764569380677078,0.999997650764369
Regulation Of Protein Localization To Plasma Membrane (GO:1903076),0.0093861736104508,0.0095638607185194,0.0090916363680056,0.0106017545077733,0.0080971553365557,0.009348116108260961,0.0794225294524913
Positive Regulation Of Signal Transduction By P53 Class Mediator (GO:1901798),0.0103551376625304,0.0104074176266965,0.01024464412215,0.0113524663736715,0.0089563131525467,0.010263195787519021,0.1364095267627693
Cellular Response To Thyroid Hormone Stimulus (GO:0097067),0.0162093931841227,0.0011828046590581,0.0160132901200603,0.017034401102536,0.0011581471701004,0.010319607247175499,0.4384034216877984
Transport Across Blood-Brain Barrier (GO:0150104),0.0123644076460348,0.0126407793239888,0.0029735076589537,0.0136294863791184,0.0104477515229362,0.01041118650620638,0.3220141667878067
Leucine Transport (GO:0015820),0.0106335768100685,0.0106363455423787,0.0106000406389181,0.0115194767330254,0.0090612210127812,0.01049013214743438,0.3036022959723437
Protein Localization To Plasma Membrane (GO:0072659),0.003275146805148,0.0035271982435059,0.029482274336107,0.0121826795417175,0.0090929202682579,0.01151204383894726,0.0022717403136124
Sterol Metabolic Process (GO:0016125),0.0117808606870041,0.011870107499993,0.0113475650549614,0.0127570981225729,0.0099269507932133,0.011536516431548939,0.999997650764369
Ribosomal Large Subunit Assembly (GO:0000027),0.0117808606870041,0.011870107499993,0.0113999988904119,0.0127570981225729,0.0099269507932133,0.01154700319863904,0.2262906035561854
Response To Thyroid Hormone (GO:0097066),0.0189443016146041,0.0016919286608465,0.01893538470972,0.0196928060354278,0.0015976198222111,0.0121724081685619,0.3561868189788333
Branched-Chain Amino Acid Transport (GO:0015803),0.0131720752536639,0.013237037463788,0.0130651602379258,0.013696623178794,0.0110769347225075,0.012849566171335838,0.2523832646959209
Regulation Of Cholesterol Transport (GO:0032374),0.0131720752536639,0.013237037463788,0.0130651602379258,0.013696623178794,0.0110769347225075,0.012849566171335838,0.8766865064825955
Negative Regulation Of Cholesterol Transport (GO:0032375),0.0131720752536639,0.013237037463788,0.0130651602379258,0.013696623178794,0.0110769347225075,0.012849566171335838,0.5295830097573272
N-acetylneuraminate Metabolic Process (GO:0006054),0.0131720752536639,0.013237037463788,0.0130651602379258,0.013696623178794,0.0110769347225075,0.012849566171335838,0.2523832646959209
Protein Localization To Cell Periphery (GO:1990778),0.0041711372645095,0.0043618474425507,0.0340333106971045,0.013696623178794,0.0110769347225075,0.01346797066109324,0.000470553929885848
Zymogen Activation (GO:0031638),0.0176591805173935,0.0184641126926526,0.0173360678725073,0.0189270953440101,0.0034886015294505,0.0151750115912028,0.9688080936887008
Fibrinolysis (GO:0042730),0.0189443016146041,0.0197027660144027,0.01893538470972,0.0196928060354278,0.0015976198222111,0.01577457563927314,0.999997650764369
rRNA Metabolic Process (GO:0016072),0.0162093931841227,0.0166859340643405,0.0160132901200603,0.017034401102536,0.0134589563033305,0.015880394954878002,0.00012797809458100113
Negative Regulation Of Nitrogen Compound Metabolic Process (GO:0051172),0.0162093931841227,0.0166859340643405,0.0160132901200603,0.017034401102536,0.0134589563033305,0.015880394954878002,0.725487854300617
Sterol Transport (GO:0015918),0.0162093931841227,0.0166859340643405,0.0160132901200603,0.017034401102536,0.0134589563033305,0.015880394954878002,0.3824714715434876
Negative Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903051),0.0162093931841227,0.0166859340643405,0.0160132901200603,0.017034401102536,0.0134589563033305,0.015880394954878002,0.5715154618493735
protein-RNA Complex Assembly (GO:0022618),0.0164810203186707,0.0173428378577941,0.0160132901200603,0.0180861063349908,0.0137187902681499,0.016328408979933158,3.064908242158649e-09
Pyruvate Metabolic Process (GO:0006090),0.0055292160975325,0.0251635714031369,0.0240072654202004,0.006206765212978,0.0208177858530091,0.01634492079737138,0.6400564846886255
Fructose Metabolic Process (GO:0006000),0.0055292160975325,0.0057533577932423,0.0595921487377036,0.006206765212978,0.0050933794782736,0.016434973463945998,0.4942179547713299
Cholesterol Metabolic Process (GO:0008203),0.0169941335826951,0.0176688978885003,0.0166734118114999,0.0181994550797645,0.014180351603477,0.01674324999318736,0.6560526382334988
Receptor-Mediated Endocytosis (GO:0006898),0.0176591805173935,0.0185204859397006,0.0173360678725073,0.0192239682168271,0.0149939509660582,0.01754673070249734,0.0821942220356898
Positive Regulation Of Sodium Ion Transmembrane Transporter Activity (GO:2000651),0.0189443016146041,0.0197027660144027,0.01893538470972,0.0196928060354278,0.0162139353147241,0.01869783873777574,0.3561868189788333
Sodium Ion Export Across Plasma Membrane (GO:0036376),0.0189443016146041,0.0197027660144027,0.01893538470972,0.0196928060354278,0.0162139353147241,0.01869783873777574,0.8837594889067201
Regulation Of Peptidase Activity (GO:0052547),0.0192018056815184,0.0198018663254916,0.0190273565387106,0.0201727284611037,0.0164274016352135,0.01892623172840756,0.9416463863950252
Monocarboxylic Acid Transport (GO:0015718),0.0226527440980763,0.0236945897714373,0.0058771218540481,0.0247583410779815,0.0193725538874982,0.019271070137808283,0.999997650764369
Regulation Of Protein Localization To Membrane (GO:1905475),0.0216260514658058,0.0225114849342845,0.0216183334706485,0.0229269789942189,0.0185294354650453,0.0214424568660006,0.2523832646959209
Regulation Of Protein Secretion (GO:0050708),0.0245004245045271,0.0253226029854353,0.0240072654202004,0.0267554842952654,0.0066876487779187,0.02145468519666938,0.999997650764369
Negative Regulation Of Blood Coagulation (GO:0030195),0.0256941175231653,0.0262115186945048,0.0256764689792067,0.0273177917484462,0.0042102340835608,0.02182202620577676,0.999997650764369
Intracellular Potassium Ion Homeostasis (GO:0030007),0.0226527440980763,0.023652204675362,0.0229843096349383,0.0242773572463619,0.0193725538874982,0.02258783390844734,0.999997650764369
ncRNA Processing (GO:0034470),0.0226527440980763,0.0236945897714373,0.0228631132325068,0.0247583410779815,0.0193725538874982,0.02266826841350002,8.756106409248586e-09
rRNA Processing (GO:0006364),0.0237137798183065,0.0248063982172661,0.0235835930860457,0.0259092349612908,0.0203150650159536,0.023665614219772542,1.1740025566447099e-09
Protein Catabolic Process (GO:0030163),0.0245004245045271,0.0253226029854353,0.0240072654202004,0.0267554842952654,0.0210591631425826,0.02432898806960216,0.1784836111894156
Protein Stabilization (GO:0050821),0.0332229932978994,0.0329584115067751,0.0315256676833158,0.0151365720730763,0.0113474411362517,0.02483821713946366,5.812354321782526e-08
Negative Regulation Of Protein Metabolic Process (GO:0051248),0.015707197577797,0.0162315004555815,0.0399913775383901,0.0428754043300469,0.0126833416658796,0.025497764313539017,0.0121276910226273
Proteolysis Involved In Protein Catabolic Process (GO:0051603),0.0293566205206944,0.0298956711637897,0.029482274336107,0.031759167733013,0.0241340001676578,0.02892554678425238,0.0674933282593032
Positive Regulation Of Endocytosis (GO:0045807),0.0309929242723764,0.0310464682630855,0.0306348850486582,0.0331247207899941,0.0255063656756762,0.03026107280995808,0.8353557600734015
Regulation Of Lipoprotein Lipase Activity (GO:0051004),0.0312467599699757,0.0310464682630855,0.0306348850486582,0.0331247207899941,0.0255063656756762,0.030311839949477937,0.3897194278487833
Positive Regulation Of Translation (GO:0045727),0.0314390818362384,0.0314803431699469,0.0306348850486582,0.0342630636382411,0.0255063656756762,0.030664747873752164,0.0002372577917091959
Vascular Transport (GO:0010232),0.0369273063291442,0.0365486517635631,0.0107260472723412,0.0407705802919949,0.0310940319972383,0.03121332353085634,0.3036022959723437
Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900026),0.0393827484986137,0.039094037972427,0.0399579261043713,0.0428754043300469,0.0066876487779187,0.033599553136675515,0.0361131520934787
Regulation Of Plasminogen Activation (GO:0010755),0.0359284824604739,0.0350451130593616,0.0359916387630218,0.0390418770121356,0.0302038168949061,0.0352421856379798,0.9688080936887008
Regulation Of Apoptotic Process (GO:0042981),0.0485320507695007,0.0198018663254916,0.0306348850486582,0.0394299621453244,0.0437011402379246,0.0364199809053799,4.963472928731512e-06
Regulation Of Early Endosome To Late Endosome Transport (GO:2000641),0.0470443553723945,0.0077718043615034,0.046458880523071,0.0507697589463593,0.0415586724569314,0.03872069433205192,0.0851923527071303
Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666),0.0396433170634828,0.039233629916245,0.0399913775383901,0.0428754043300469,0.0343314445329061,0.03921503467621418,0.1364095267627693
Ribosomal Small Subunit Assembly (GO:0000028),0.0396433170634828,0.039233629916245,0.0399913775383901,0.0428754043300469,0.0343314445329061,0.03921503467621418,0.1364095267627693
Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444),0.0396433170634828,0.039233629916245,0.0399913775383901,0.0428754043300469,0.0343314445329061,0.03921503467621418,0.043643258979468
Carboxylic Acid Catabolic Process (GO:0046395),0.0396433170634828,0.039233629916245,0.0399913775383901,0.0428754043300469,0.0343314445329061,0.03921503467621418,0.1364095267627693
Positive Regulation Of Hormone Secretion (GO:0046887),0.0470443553723945,0.0477435777918026,0.046458880523071,0.0507697589463593,0.0066876487779187,0.039740844282309215,0.999997650764369
Regulation Of Very-Low-Density Lipoprotein Particle Remodeling (GO:0010901),0.0405472609007882,0.0400140066875709,0.0411266334224667,0.0428754043300469,0.0350699312689515,0.03992664732196484,0.725487854300617
Positive Regulation Of Protein Catabolic Process In The Vacuole (GO:1904352),0.0405472609007882,0.0400140066875709,0.0411266334224667,0.0428754043300469,0.0350699312689515,0.03992664732196484,0.725487854300617
Negative Regulation Of Lipoprotein Lipase Activity (GO:0051005),0.0405472609007882,0.0400140066875709,0.0411266334224667,0.0428754043300469,0.0350699312689515,0.03992664732196484,0.725487854300617
Lipoprotein Metabolic Process (GO:0042157),0.0405472609007882,0.0400140066875709,0.0411266334224667,0.0428754043300469,0.0350699312689515,0.03992664732196484,0.725487854300617
Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902255),0.0405472609007882,0.0400140066875709,0.0411266334224667,0.0428754043300469,0.0350699312689515,0.03992664732196484,0.3036022959723437
Ganglioside Catabolic Process (GO:0006689),0.0481573364349944,0.0493084911486678,0.0480812169988188,0.0507697589463593,0.0035987434063449,0.039983109387037044,0.999997650764369
Regulation Of Translation (GO:0006417),0.0283183912771096,0.0292651917643897,0.0567183356843335,0.0637955527540126,0.023333756112824,0.04028624551853388,5.586873873061684e-11
Protein Polymerization (GO:0051258),0.0470443553723945,0.0477435777918026,0.046458880523071,0.0507697589463593,0.0113474411362517,0.04067280275397582,0.1973167551651753
Negative Regulation Of Lipid Catabolic Process (GO:0050995),0.043109258499028,0.0428321904538158,0.0433006554568892,0.0460516995787502,0.0371140170856598,0.042481564214828606,0.9993186253256588
Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901028),0.043109258499028,0.0428321904538158,0.0433006554568892,0.0460516995787502,0.0371140170856598,0.042481564214828606,0.4094037961304023
Intracellular Sodium Ion Homeostasis (GO:0006883),0.043109258499028,0.0428321904538158,0.0433006554568892,0.0460516995787502,0.0371140170856598,0.042481564214828606,0.999997650764369
Organic Anion Transport (GO:0015711),0.0440118782355478,0.0447511617226579,0.0436842714232699,0.0487334807581259,0.0382840535554089,0.04389296913900208,0.999997650764369
Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235),0.0453302879178598,0.0457987748544878,0.0452562699863071,0.0493833881038624,0.0394735559560716,0.04504845536371774,0.6281550808436639
Fatty Acid Transport (GO:0015908),0.0454061656911272,0.0457987748544878,0.0456187308725527,0.0493833881038624,0.0395817026106496,0.045157752426535934,0.9396257251337012
Protein Localization To Membrane (GO:0072657),0.0216260514658058,0.0228681469411889,0.0891659949023983,0.0507697589463593,0.0431335097687717,0.0455126924049048,6.35216715227512e-05
Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338),0.0470443553723945,0.0477435777918026,0.046458880523071,0.0507697589463593,0.0415586724569314,0.04671504901811176,0.999997650764369
Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244),0.0470443553723945,0.0483297138224183,0.046458880523071,0.0507697589463593,0.0419223763390888,0.04690501700066638,0.4709804273552053
Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000059),0.0470443553723945,0.0483297138224183,0.046458880523071,0.0507697589463593,0.0419223763390888,0.04690501700066638,0.0752248531049298
Organonitrogen Compound Biosynthetic Process (GO:1901566),0.0477023996173669,0.0493084911486678,0.046458880523071,0.0507697589463593,0.0425436915778964,0.04735664436267228,0.021661526334346
Response To Increased Oxygen Levels (GO:0036296),0.0481573364349944,0.0493084911486678,0.0480812169988188,0.0507697589463593,0.043334493755873,0.04793025945694267,0.2429433504769355
Negative Regulation Of Protein Localization To Cell Periphery (GO:1904376),0.0481573364349944,0.0493084911486678,0.0480812169988188,0.0507697589463593,0.043334493755873,0.04793025945694267,0.3036022959723437
Regulation Of Intestinal Cholesterol Absorption (GO:0030300),0.0481573364349944,0.0493084911486678,0.0480812169988188,0.0507697589463593,0.043334493755873,0.04793025945694267,0.999997650764369
Negative Regulation Of Lipoprotein Particle Clearance (GO:0010985),0.0481573364349944,0.0493084911486678,0.0480812169988188,0.0507697589463593,0.043334493755873,0.04793025945694267,0.2429433504769355
Positive Regulation Of Amyloid-Beta Clearance (GO:1900223),0.0481573364349944,0.0493084911486678,0.0480812169988188,0.0507697589463593,0.043334493755873,0.04793025945694267,0.9416463863950252
Ameboidal-Type Cell Migration (GO:0001667),0.0481573364349944,0.0493084911486678,0.0480812169988188,0.0507697589463593,0.043334493755873,0.04793025945694267,0.1662497669284963
Negative Regulation Of Protein Localization To Plasma Membrane (GO:1903077),0.0481573364349944,0.0493084911486678,0.0480812169988188,0.0507697589463593,0.043334493755873,0.04793025945694267,0.3036022959723437
Ribosomal Large Subunit Export From Nucleus (GO:0000055),0.0481573364349944,0.0493084911486678,0.0480812169988188,0.0507697589463593,0.043334493755873,0.04793025945694267,0.2429433504769355
Ribosomal Small Subunit Export From Nucleus (GO:0000056),0.0481573364349944,0.0493084911486678,0.0480812169988188,0.0507697589463593,0.043334493755873,0.04793025945694267,0.2429433504769355
Positive Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production (GO:2000343),0.0481573364349944,0.0493084911486678,0.0480812169988188,0.0507697589463593,0.043334493755873,0.04793025945694267,0.9416463863950252
Regulation Of Cholesterol Storage (GO:0010885),0.0265205910862504,0.0267305316248384,0.1370648845396656,0.0275601975209613,0.0219349332019066,0.04796222759472445,0.999997650764369
Lipid Transport (GO:0006869),0.0730551078994444,0.0314803431699469,0.0306348850486582,0.0795701478676802,0.0255063656756762,0.048049369932281184,0.999997650764369
Regulation Of Endocytosis (GO:0030100),0.0493169176049301,0.0513518693978263,0.0487817250688604,0.0533462361861352,0.0444374089670027,0.04944683144495095,0.029394829605076
Positive Regulation Of Protein Transport (GO:0051222),0.0604018262311202,0.0621939216327419,0.0595921487377036,0.0637955527540126,0.0164274016352135,0.05248217019815836,0.0274476411571169
Positive Regulation Of Protein Secretion (GO:0050714),0.0712438562866054,0.0267305316248384,0.0695220800066696,0.0766568900847495,0.0219349332019066,0.053217658240953904,0.4258699404171088
Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034114),0.0665470367962777,0.0700141681360116,0.0654052248077716,0.070801563076427,0.0122621781621679,0.05700603419573116,0.2793450975095523
Plasminogen Activation (GO:0031639),0.0692106153875025,0.0702760434383428,0.0685179265292773,0.0728090613153097,0.0066876487779187,0.0575002590896702,0.992466519249961
Positive Regulation Of Cell-Cell Adhesion (GO:0022409),0.0662564865846096,0.0700141681360116,0.064312206904923,0.070801563076427,0.0162139353147241,0.05751967200333906,0.9416463863950252
Regulation Of Cell-Cell Adhesion (GO:0022407),0.0579846923867779,0.0601156598339514,0.0568142740015063,0.062577963142278,0.0527310628482437,0.05804473044255146,0.4174047072942608
Positive Regulation Of Secretion By Cell (GO:1903532),0.0662564865846096,0.0700141681360116,0.064312206904923,0.070801563076427,0.0193725538874982,0.058151395717893885,0.3184647924801201
Actin Filament Organization (GO:0007015),0.0370957189157055,0.0370226788505206,0.0742304675716026,0.0820691878635587,0.0710075591925993,0.06028512247879734,0.0289099739014127
Glycine Metabolic Process (GO:0006544),0.0604018262311202,0.0621939216327419,0.0595921487377036,0.0637955527540126,0.0554956335357239,0.06029581657826044,0.999997650764369
Fructose Transmembrane Transport (GO:0015755),0.0604018262311202,0.0621939216327419,0.0595921487377036,0.0637955527540126,0.0554956335357239,0.06029581657826044,0.999997650764369
Regulation Of Response To Wounding (GO:1903034),0.0604018262311202,0.0621939216327419,0.0595921487377036,0.0637955527540126,0.0554956335357239,0.06029581657826044,0.8353557600734015
Very-Low-Density Lipoprotein Particle Remodeling (GO:0034372),0.0604018262311202,0.0621939216327419,0.0595921487377036,0.0637955527540126,0.0554956335357239,0.06029581657826044,0.4942179547713299
Regulation Of Viral Entry Into Host Cell (GO:0046596),0.0604018262311202,0.0621939216327419,0.0595921487377036,0.0641656480511504,0.0554956335357239,0.060369835637687996,0.999997650764369
Regulation Of Apoptotic Signaling Pathway (GO:2001233),0.0636105585537726,0.0661033230030622,0.061792630170457,0.0673632654712759,0.0575098136371906,0.06327591816715165,0.3284202547325747
Regulation Of Lipid Catabolic Process (GO:0050994),0.0636105585537726,0.0661033230030622,0.061792630170457,0.0673632654712759,0.0575098136371906,0.06327591816715165,0.999997650764369
Regulation Of Cholesterol Metabolic Process (GO:0090181),0.0636105585537726,0.0661033230030622,0.061792630170457,0.0673632654712759,0.0575098136371906,0.06327591816715165,0.4981132804303111
Potassium Ion Homeostasis (GO:0055075),0.0636105585537726,0.0661033230030622,0.061792630170457,0.0673632654712759,0.0575098136371906,0.06327591816715165,0.999997650764369
Glycosphingolipid Catabolic Process (GO:0046479),0.0778292603968634,0.080435569397901,0.0768326494607546,0.0820691878635587,0.0090612210127812,0.06524557762637177,0.999997650764369
Positive Regulation Of Inflammatory Response (GO:0050729),0.0665470367962777,0.0700141681360116,0.0644905657677479,0.070801563076427,0.0613477057568461,0.06664020790666206,0.999997650764369
Response To Hexose (GO:0009746),0.0665470367962777,0.0700141681360116,0.0654052248077716,0.070801563076427,0.0615974840255438,0.06687309536840633,0.6281550808436639
Positive Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030511),0.0665470367962777,0.0700141681360116,0.0654052248077716,0.070801563076427,0.0615974840255438,0.06687309536840633,0.0705178837395637
Positive Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus (GO:1903846),0.0665470367962777,0.0700141681360116,0.0654052248077716,0.070801563076427,0.0615974840255438,0.06687309536840633,0.0705178837395637
Acylglycerol Catabolic Process (GO:0046464),0.0665470367962777,0.0700141681360116,0.0654052248077716,0.070801563076427,0.0615974840255438,0.06687309536840633,0.9571238752503776
Fat-Soluble Vitamin Metabolic Process (GO:0006775),0.0665470367962777,0.0700141681360116,0.0654052248077716,0.070801563076427,0.0615974840255438,0.06687309536840633,0.999997650764369
Negative Regulation Of Cellular Component Organization (GO:0051129),0.0778292603968634,0.0310464682630855,0.0757170424886338,0.0820691878635587,0.0729101994179965,0.06791443168602758,0.8353557600734015
Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900024),0.0778292603968634,0.0807965510625114,0.0768326494607546,0.0828847778014316,0.0219349332019066,0.06805563438469352,0.0144624222822107
Regulation Of Macroautophagy (GO:0016241),0.0522859530762535,0.0546608529288749,0.0513925546393978,0.137468922424038,0.0471435651392696,0.06859036964156676,0.0030761648010869
