Term,Adjusted P-value,Adjusted P-value using all genes
High-Density Lipoprotein Particle Assembly (GO:0034380),0.0004585182461903922,0.0188418999782172
Negative Regulation Of Cell-Cell Adhesion (GO:0022408),0.0021295857883316,0.0200789812077382
Protein Transport (GO:0015031),0.0021295857883316,1.7733613526861022e-08
Phospholipid Transport (GO:0015914),0.0021295857883316,8.658513043065202e-05
Acylglycerol Metabolic Process (GO:0006639),0.0022512726373193,0.0643105469383536
Protein Localization To Plasma Membrane (GO:0072659),0.003275146805148,0.0159093506903676
N-acetylneuraminate Catabolic Process (GO:0019262),0.003971678655107,0.0425863108149652
Protein Localization To Cell Periphery (GO:1990778),0.0041711372645095,0.0100488683534889
Secondary Alcohol Metabolic Process (GO:1902652),0.0044034184347542,0.0425863108149652
Proton Transmembrane Transport (GO:1902600),0.0054320314420661,2.0817909900143603e-07
Pyruvate Metabolic Process (GO:0006090),0.0055292160975325,0.0204999127365703
Regulation Of Endodeoxyribonuclease Activity (GO:0032071),0.0055292160975325,0.0628685718508284
Amino Sugar Catabolic Process (GO:0046348),0.0055292160975325,0.0628685718508284
Fructose Metabolic Process (GO:0006000),0.0055292160975325,0.0628685718508284
Regulation Of Cdc42 Protein Signal Transduction (GO:0032489),0.0055292160975325,0.0628685718508284
Negative Regulation Of Catabolic Process (GO:0009895),0.0055292160975325,0.0540412432501319
Cobalamin Transport (GO:0015889),0.0077951801159802,0.0124720663121518
Triglyceride-Rich Lipoprotein Particle Remodeling (GO:0034370),0.0077951801159802,0.0010191790119001
Negative Regulation Of Lipase Activity (GO:0060192),0.0077951801159802,0.0816207425601998
Negative Regulation Of Ubiquitin Protein Ligase Activity (GO:1904667),0.0077951801159802,0.0124720663121518
Negative Regulation Of Viral Life Cycle (GO:1903901),0.0088472468980515,0.011409680916242
Regulation Of Protein Localization To Plasma Membrane (GO:1903076),0.0093861736104508,0.0425863108149652
Positive Regulation Of Signal Transduction By P53 Class Mediator (GO:1901798),0.0103551376625304,0.0144324735867176
Leucine Transport (GO:0015820),0.0106335768100685,0.0188418999782172
Sterol Metabolic Process (GO:0016125),0.0117808606870041,0.1130450743375449
Ribosomal Large Subunit Assembly (GO:0000027),0.0117808606870041,0.0179246371362274
Transport Across Blood-Brain Barrier (GO:0150104),0.0123644076460348,0.0582595060531874
Regulation Of Cholesterol Transport (GO:0032374),0.0131720752536639,0.0744310749582478
N-acetylneuraminate Metabolic Process (GO:0006054),0.0131720752536639,0.1260001624739056
Branched-Chain Amino Acid Transport (GO:0015803),0.0131720752536639,0.0261566841009068
Negative Regulation Of Cholesterol Transport (GO:0032375),0.0131720752536639,0.0261566841009068
Negative Regulation Of Protein Metabolic Process (GO:0051248),0.015707197577797,0.0518512117553137
rRNA Metabolic Process (GO:0016072),0.0162093931841227,0.000716046202228266
Cellular Response To Thyroid Hormone Stimulus (GO:0097067),0.0162093931841227,0.0055768780840196
Negative Regulation Of Nitrogen Compound Metabolic Process (GO:0051172),0.0162093931841227,0.1497995122522004
Sterol Transport (GO:0015918),0.0162093931841227,0.0278773983363451
Negative Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903051),0.0162093931841227,0.0939516860580482
protein-RNA Complex Assembly (GO:0022618),0.0164810203186707,4.482979067708474e-05
Cholesterol Metabolic Process (GO:0008203),0.0169941335826951,0.0382510662664744
Zymogen Activation (GO:0031638),0.0176591805173935,0.011409680916242
Receptor-Mediated Endocytosis (GO:0006898),0.0176591805173935,0.0556309578022349
Response To Thyroid Hormone (GO:0097066),0.0189443016146041,0.00074728744512691
Sodium Ion Export Across Plasma Membrane (GO:0036376),0.0189443016146041,0.1703569747614548
Fibrinolysis (GO:0042730),0.0189443016146041,0.0079573419081813
Positive Regulation Of Sodium Ion Transmembrane Transporter Activity (GO:2000651),0.0189443016146041,0.1703569747614548
Regulation Of Peptidase Activity (GO:0052547),0.0192018056815184,0.1148022024935688
Regulation Of Protein Localization To Membrane (GO:1905475),0.0216260514658058,0.042748184166809
Protein Localization To Membrane (GO:0072657),0.0216260514658058,0.0049659730736026
Intracellular Potassium Ion Homeostasis (GO:0030007),0.0226527440980763,0.1932787485158185
Monocarboxylic Acid Transport (GO:0015718),0.0226527440980763,0.00023127859267908565
ncRNA Processing (GO:0034470),0.0226527440980763,0.0006672704252032675
rRNA Processing (GO:0006364),0.0237137798183065,0.0007155485159123951
Regulation Of Protein Secretion (GO:0050708),0.0245004245045271,0.0744310749582478
Protein Catabolic Process (GO:0030163),0.0245004245045271,0.00023861587514249533
Negative Regulation Of Blood Coagulation (GO:0030195),0.0256941175231653,0.0179246371362274
Regulation Of Cholesterol Storage (GO:0010885),0.0265205910862504,0.066905244921954
Regulation Of Translation (GO:0006417),0.0283183912771096,0.000689552322844065
Proteolysis Involved In Protein Catabolic Process (GO:0051603),0.0293566205206944,0.0055768780840196
Positive Regulation Of Endocytosis (GO:0045807),0.0309929242723764,0.0169707340964187
Regulation Of Lipoprotein Lipase Activity (GO:0051004),0.0312467599699757,0.0186489375001218
Positive Regulation Of Translation (GO:0045727),0.0314390818362384,0.0110739622575368
Protein Stabilization (GO:0050821),0.0332229932978994,0.0055768780840196
Actin Filament Bundle Assembly (GO:0051017),0.0332888141983443,0.00025282556560588134
Actin Filament Bundle Organization (GO:0061572),0.0332888141983443,0.0014829382940989
Regulation Of Plasminogen Activation (GO:0010755),0.0359284824604739,0.0931388549324971
Vascular Transport (GO:0010232),0.0369273063291442,0.1020947571330687
Actin Filament Organization (GO:0007015),0.0370957189157055,0.0816207425601998
Neutral Amino Acid Transport (GO:0015804),0.0393827484986137,0.0100488683534889
Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900026),0.0393827484986137,0.0100488683534889
Carboxylic Acid Catabolic Process (GO:0046395),0.0396433170634828,0.0055768780840196
Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666),0.0396433170634828,0.0272097184890217
Ribosomal Small Subunit Assembly (GO:0000028),0.0396433170634828,0.0055768780840196
Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444),0.0396433170634828,0.0272097184890217
Regulation Of Very-Low-Density Lipoprotein Particle Remodeling (GO:0010901),0.0405472609007882,0.0017742163878909
Lipoprotein Metabolic Process (GO:0042157),0.0405472609007882,0.1832342046761595
Negative Regulation Of Lipoprotein Lipase Activity (GO:0051005),0.0405472609007882,0.1832342046761595
Positive Regulation Of Cholesterol Storage (GO:0010886),0.0405472609007882,0.0272097184890217
Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902255),0.0405472609007882,0.0272097184890217
Positive Regulation Of Protein Catabolic Process In The Vacuole (GO:1904352),0.0405472609007882,0.1832342046761595
Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901028),0.043109258499028,0.2912144082750721
Intracellular Sodium Ion Homeostasis (GO:0006883),0.043109258499028,0.2912144082750721
Negative Regulation Of Lipid Catabolic Process (GO:0050995),0.043109258499028,0.2912144082750721
Cellular Component Assembly (GO:0022607),0.0437714388685281,0.0530143173569491
Organic Anion Transport (GO:0015711),0.0440118782355478,0.0744310749582478
Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235),0.0453302879178598,0.3740523949458881
Fatty Acid Transport (GO:0015908),0.0454061656911272,0.0465432781871628
Protein Polymerization (GO:0051258),0.0470443553723945,0.0648450488621917
Regulation Of Early Endosome To Late Endosome Transport (GO:2000641),0.0470443553723945,0.1378285009945834
Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338),0.0470443553723945,0.3249386781507866
Positive Regulation Of Hormone Secretion (GO:0046887),0.0470443553723945,0.0424597457001641
Carboxylic Acid Transmembrane Transport (GO:1905039),0.0470443553723945,0.0053299184657588
Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000059),0.0470443553723945,0.1293245601292829
Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244),0.0470443553723945,0.1293245601292829
Organonitrogen Compound Biosynthetic Process (GO:1901566),0.0477023996173669,0.0059864277660253
Negative Regulation Of Amide Metabolic Process (GO:0034249),0.0481573364349944,0.0901219183010064
Regulation Of Intestinal Cholesterol Absorption (GO:0030300),0.0481573364349944,0.0425863108149652
Response To Increased Oxygen Levels (GO:0036296),0.0481573364349944,0.0425863108149652
Ribosomal Large Subunit Export From Nucleus (GO:0000055),0.0481573364349944,0.2237738040360698
Ribosomal Small Subunit Export From Nucleus (GO:0000056),0.0481573364349944,0.0425863108149652
Ganglioside Catabolic Process (GO:0006689),0.0481573364349944,0.0425863108149652
Negative Regulation Of Lipoprotein Particle Clearance (GO:0010985),0.0481573364349944,0.0425863108149652
Positive Regulation Of Amyloid-Beta Clearance (GO:1900223),0.0481573364349944,0.2237738040360698
Positive Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production (GO:2000343),0.0481573364349944,0.0425863108149652
Ameboidal-Type Cell Migration (GO:0001667),0.0481573364349944,0.3420230236206455
Negative Regulation Of Protein Localization To Cell Periphery (GO:1904376),0.0481573364349944,0.3420230236206455
Negative Regulation Of Protein Localization To Plasma Membrane (GO:1903077),0.0481573364349944,0.3420230236206455
Regulation Of Apoptotic Process (GO:0042981),0.0485320507695007,3.835041871293591e-05
Regulation Of Endocytosis (GO:0030100),0.0493169176049301,0.1600962613705149
