Term,Adjusted P-value,Adjusted P-value using all genes
Cholesterol Metabolic Process (GO:0008203),0.0176688978885003,0.0371316317655267
Zymogen Activation (GO:0031638),0.0184641126926526,0.0033644384103674
Receptor-Mediated Endocytosis (GO:0006898),0.0185204859397006,0.1009845266962673
Sodium Ion Export Across Plasma Membrane (GO:0036376),0.0197027660144027,0.169365795276748
Fibrinolysis (GO:0042730),0.0197027660144027,0.0079318626399754
Positive Regulation Of Sodium Ion Transmembrane Transporter Activity (GO:2000651),0.0197027660144027,0.169365795276748
Regulation Of Apoptotic Process (GO:0042981),0.0198018663254916,4.028747705389113e-05
Regulation Of Peptidase Activity (GO:0052547),0.0198018663254916,0.0385419101553644
Regulation Of Protein Localization To Membrane (GO:1905475),0.0225114849342845,0.0414908738956831
Protein Localization To Membrane (GO:0072657),0.0228681469411889,0.0187821585918689
Intracellular Potassium Ion Homeostasis (GO:0030007),0.023652204675362,0.1915276542166863
Monocarboxylic Acid Transport (GO:0015718),0.0236945897714373,5.178770758825056e-05
ncRNA Processing (GO:0034470),0.0236945897714373,5.172892619203828e-05
rRNA Processing (GO:0006364),0.0248063982172661,5.507055044081995e-05
Pyruvate Metabolic Process (GO:0006090),0.0251635714031369,0.0207067293432065
Regulation Of Protein Secretion (GO:0050708),0.0253226029854353,0.1339140173434416
Protein Catabolic Process (GO:0030163),0.0253226029854353,1.9890411835837352e-05
Negative Regulation Of Blood Coagulation (GO:0030195),0.0262115186945048,0.0182795637516756
Regulation Of Cholesterol Storage (GO:0010885),0.0267305316248384,0.0653382309297355
Positive Regulation Of Protein Secretion (GO:0050714),0.0267305316248384,0.0301813155085953
Regulation Of Translation (GO:0006417),0.0292651917643897,0.016752971288172
Proteolysis Involved In Protein Catabolic Process (GO:0051603),0.0298956711637897,0.0158396837030108
Negative Regulation Of Cellular Component Organization (GO:0051129),0.0310464682630855,0.544523227635751
Positive Regulation Of Endocytosis (GO:0045807),0.0310464682630855,0.0800886381293847
Regulation Of Lipoprotein Lipase Activity (GO:0051004),0.0310464682630855,0.0187821585918689
Lipid Transport (GO:0006869),0.0314803431699469,0.00013407460957946097
Positive Regulation Of Translation (GO:0045727),0.0314803431699469,0.0503599884287688
Protein Stabilization (GO:0050821),0.0329584115067751,0.0117795484944994
Actin Filament Bundle Assembly (GO:0051017),0.0329584115067751,0.0002429188588684854
Actin Filament Bundle Organization (GO:0061572),0.0329584115067751,0.0015261613993756
Regulation Of Plasminogen Activation (GO:0010755),0.0350451130593616,0.0907450107852565
Protein Kinase A Signaling (GO:0010737),0.0350451130593616,0.2557390288831757
Vascular Transport (GO:0010232),0.0365486517635631,0.0492535924719645
Actin Filament Organization (GO:0007015),0.0370226788505206,0.0798416657201405
Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900026),0.039094037972427,0.0102682740875547
Carboxylic Acid Catabolic Process (GO:0046395),0.039233629916245,0.0056663194467684
Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666),0.039233629916245,0.0263469496292268
Ribosomal Small Subunit Assembly (GO:0000028),0.039233629916245,0.0056663194467684
Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444),0.039233629916245,0.1027157526149879
Regulation Of Very-Low-Density Lipoprotein Particle Remodeling (GO:0010901),0.0400140066875709,0.0263469496292268
Lipoprotein Metabolic Process (GO:0042157),0.0400140066875709,0.0263469496292268
Negative Regulation Of Lipoprotein Lipase Activity (GO:0051005),0.0400140066875709,0.1837151850466501
Positive Regulation Of Cholesterol Storage (GO:0010886),0.0400140066875709,0.0263469496292268
Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902255),0.0400140066875709,0.1837151850466501
Positive Regulation Of Protein Catabolic Process In The Vacuole (GO:1904352),0.0400140066875709,0.1837151850466501
Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901028),0.0428321904538158,0.2858231680661272
Intracellular Sodium Ion Homeostasis (GO:0006883),0.0428321904538158,0.2858231680661272
Negative Regulation Of Lipid Catabolic Process (GO:0050995),0.0428321904538158,0.2858231680661272
Organic Anion Transport (GO:0015711),0.0447511617226579,0.135584199780543
Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235),0.0457987748544878,0.3646679593515693
Fatty Acid Transport (GO:0015908),0.0457987748544878,0.0162256836535065
Protein Polymerization (GO:0051258),0.0477435777918026,0.0638859663971261
Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338),0.0477435777918026,0.3184000611181866
Positive Regulation Of Hormone Secretion (GO:0046887),0.0477435777918026,0.0094746414526423
Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000059),0.0483297138224183,0.1281410947772387
Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244),0.0483297138224183,0.2557390288831757
Organonitrogen Compound Biosynthetic Process (GO:1901566),0.0493084911486678,0.058349270797459
Negative Regulation Of Amide Metabolic Process (GO:0034249),0.0493084911486678,0.087511542222996
Regulation Of Intestinal Cholesterol Absorption (GO:0030300),0.0493084911486678,0.0413243110712154
Response To Increased Oxygen Levels (GO:0036296),0.0493084911486678,0.0413243110712154
Ribosomal Large Subunit Export From Nucleus (GO:0000055),0.0493084911486678,0.2246245470685736
Ribosomal Small Subunit Export From Nucleus (GO:0000056),0.0493084911486678,0.0413243110712154
Ganglioside Catabolic Process (GO:0006689),0.0493084911486678,0.0413243110712154
Negative Regulation Of Lipoprotein Particle Clearance (GO:0010985),0.0493084911486678,0.0413243110712154
Positive Regulation Of Amyloid-Beta Clearance (GO:1900223),0.0493084911486678,0.2246245470685736
Positive Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production (GO:2000343),0.0493084911486678,0.0413243110712154
Ameboidal-Type Cell Migration (GO:0001667),0.0493084911486678,0.3332033503553179
Negative Regulation Of Protein Localization To Cell Periphery (GO:1904376),0.0493084911486678,0.3332033503553179
Negative Regulation Of Protein Localization To Plasma Membrane (GO:1903077),0.0493084911486678,0.3332033503553179
