Term,Adjusted P-value,Adjusted P-value using all genes
regulation of histone modification (GO:0031056),0.0009455568592322,0.0229438145233225
DNA strand elongation involved in DNA replication (GO:0006271),0.0002283492033204,0.0331069625366354
organelle assembly (GO:0070925),4.88370190505e-05,6.73936834e-08
covalent chromatin modification (GO:0016569),0.0087273666195305,0.2054066220140228
DNA replication (GO:0006260),0.000327937934246,0.010854634750995
negative regulation of nematode larval development (GO:0061064),0.0005127107909232,0.0104110633674076
Notch receptor processing (GO:0007220),0.0055278673686797,0.149392483848739
DNA-dependent DNA replication (GO:0006261),0.0004579677672605,0.1439282488108825
histone acetylation (GO:0016573),0.0025281772783762,0.0156946000895996
apoptotic process (GO:0006915),0.0005151359597646,0.0514821306705204
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",9.51473023503e-05,0.0023201879255772
negative regulation of centrosome cycle (GO:0046606),0.0106445753465316,0.2316265809138538
septin ring organization (GO:0031106),0.0087273666195305,0.2054066220140228
"regulation of mitotic cell cycle, embryonic (GO:0009794)",0.0018101653028145,0.1602555201054777
mitotic spindle midzone assembly (GO:0051256),0.000327937934246,0.0437235905827306
chromatin remodeling (GO:0006338),0.0025281772783762,0.0156946000895996
protein localization to chromosome (GO:0034502),0.0087273666195305,0.2054066220140228
mRNA processing (GO:0006397),2.9112748605e-05,6.60467178597e-05
positive regulation of chromosome organization (GO:2001252),0.0073833036117522,0.1744306769259622
regulation of mitotic sister chromatid separation (GO:0010965),0.0106445753465316,0.2316265809138538
histone modification (GO:0016570),0.0008213883827856,0.0090014370376257
DNA metabolic process (GO:0006259),0.0002295057896146,0.0157591907915827
positive regulation of mitotic nuclear division (GO:0045840),0.01278964801212,0.2589899335074234
attachment of mitotic spindle microtubules to kinetochore (GO:0051315),0.0002283492033204,0.0331069625366354
macromolecule modification (GO:0043412),0.0170332884961359,0.0229438145233225
transcription elongation from RNA polymerase II promoter (GO:0006368),0.01278964801212,0.2589899335074234
transcription from RNA polymerase II promoter (GO:0006366),0.0032044712803309,0.1050121293794796
gonad development (GO:0008406),2.74486283519e-05,6.16905948231e-05
genitalia development (GO:0048806),0.0038179105028326,0.0918623980233634
"DNA-templated transcription, elongation (GO:0006354)",0.0106445753465316,0.2316265809138538
regulation of gene expression (GO:0010468),0.0005935679843312,0.000548550954112
positive regulation of organelle assembly (GO:1902117),0.0048540735536849,0.1171916896104444
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146),0.0106445753465316,0.2316265809138538
small GTPase mediated signal transduction (GO:0007264),0.0218820252964493,0.3799665145855836
hermaphrodite genitalia development (GO:0040035),0.0055996760462874,0.1439282488108825
nematode larval development (GO:0002119),0.0032223475313559,6.60467178597e-05
regulation of protein serine/threonine kinase activity (GO:0071900),0.0048540735536849,0.0342203456386936
negative regulation of cell cycle process (GO:0010948),0.0150422745634243,0.2914149663612759
embryonic organ morphogenesis (GO:0048562),0.0076231895916519,0.0068789687012677
mitotic cell cycle phase transition (GO:0044772),0.0170332884961359,0.0229438145233225
positive regulation of cell cycle process (GO:0090068),0.0053789724814909,0.2975563878741045
RNA splicing (GO:0008380),0.0192319639659066,0.1248953417635271
DNA geometric change (GO:0032392),0.0218820252964493,0.0345166470308372
nucleosome organization (GO:0034728),0.0087273666195305,0.0090014370376257
regulation of cell differentiation (GO:0045595),0.0246328606236163,0.4162475520774215
neuron development (GO:0048666),0.008372729143526,0.0753597108079498
embryonic digestive tract morphogenesis (GO:0048557),0.0087273666195305,0.0090014370376257
positive regulation of cell cycle (GO:0045787),0.0087273666195305,0.0844520535166057
tripartite regional subdivision (GO:0007351),0.0269757561994915,0.4433342096895012
spindle assembly (GO:0051225),0.0246328606236163,0.1602555201054777
regulation of macromolecule metabolic process (GO:0060255),0.0020130863057367,0.003649115949868
embryonic axis specification (GO:0000578),0.032815879841358,0.4914583780843936
Notch signaling pathway (GO:0007219),0.0298580406160796,0.4767322064218521
DNA repair (GO:0006281),0.0011526434302713,0.2894613743373518
DNA duplex unwinding (GO:0032508),0.0269757561994915,0.0507488598907394
anterior/posterior axis specification (GO:0009948),0.0133686841228594,0.0516650946161045
"regulation of transcription, DNA-templated (GO:0006355)",0.0046808502286136,7.12215317375e-05
regulation of mitotic cell cycle (GO:0007346),0.0032818051501826,0.0009429132747109
chromatin assembly (GO:0031497),0.0435251404629622,0.0319923218816205
regulation of vulval development (GO:0040028),0.0051998199172608,0.0342203456386936
neuron differentiation (GO:0030182),0.0161978551101272,0.0727294850083561
post-embryonic animal organ development (GO:0048569),0.0154690669852774,0.1514951547419642
positive regulation of protein serine/threonine kinase activity (GO:0071902),0.0298580406160796,0.4767322064218521
positive regulation of cytoskeleton organization (GO:0051495),0.0399459229683038,0.4914583780843936
regulation of cell division (GO:0051302),0.0179771721991946,0.0114542083996925
cellular response to DNA damage stimulus (GO:0006974),0.0038179105028326,0.1812436058540601
mRNA 3'-end processing (GO:0031124),0.0472029218131452,0.0342203456386936
nematode male tail tip morphogenesis (GO:0045138),0.0183053384918136,0.1043405562162789
digestive tract morphogenesis (GO:0048546),0.0106759222901035,0.0038140815211022
negative regulation of protein kinase activity (GO:0006469),0.0170332884961359,0.32196822529369
positive regulation of mitotic sister chromatid separation (GO:1901970),0.0192319639659066,0.0309783637126782
"anterior/posterior axis specification, embryo (GO:0008595)",0.0269757561994915,0.4433342096895012
vulval development (GO:0040025),0.0143423563990934,0.1439282488108825
ribonucleoprotein complex assembly (GO:0022618),0.026884980726604,0.0015274855893975
positive regulation of mitotic cell cycle (GO:0045931),0.032815879841358,0.4914583780843936
regulation of cellular macromolecule biosynthetic process (GO:2000112),0.0481953446136299,0.149392483848739
